# Test data for ascii data reference state
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 25
# Columns: depth (m), viscosity (Pa.s)
depth viscosity
9.947520000000018626e+04 2.640000000000000000e+22
2.185920000000000000e+05 2.410000000000000000e+20
3.383424000000003725e+05 2.900000000000000000e+20
4.080384000000003725e+05 4.320000000000000000e+20
4.100000000000000000e+05 4.320000000000000000e+20
5.170175999999996275e+05 4.310000000000000000e+20
5.200000000000000000e+05 4.310000000000000000e+20
6.564096000000005588e+05 6.510000000000000000e+20
6.600000000000000000e+05 6.510000000000000000e+20
7.958016000000005588e+05 6.240000000000000000e+21
9.345600000000000000e+05 1.030000000000000105e+22
1.073952000000000000e+06 1.590000000000000105e+22
1.213344000000000000e+06 2.350000000000000105e+22
1.352736000000000000e+06 3.320000000000000000e+22
1.491494400000000373e+06 4.509999999999999685e+22
1.630886399999999441e+06 5.859999999999999790e+22
1.770278399999999441e+06 7.309999999999999685e+22
1.909670400000000373e+06 8.750000000000000524e+22
2.048428799999999814e+06 1.009999999999999979e+23
2.187820800000000279e+06 1.109999999999999937e+23
2.327212799999999814e+06 1.120000000000000000e+23
2.466604799999999814e+06 8.849999999999999476e+22
2.605363200000000186e+06 3.320000000000000000e+22
2.744755200000000186e+06 3.540000000000000000e+21
2.884147200000000186e+06 1.860000000000000000e+20
