# This ASPECT-compatible file contains data to calculate the thermodynamic driving force in the ReactionKinetics material model. This table is for lower-mtz -> lower-mantle evaluated along an isentrope produced by the BurnMan software.
# POINTS: 501
#
# pressure (Pa) temperature (K) depth (m) density a (kg/m3) density b (kg/m3) thermal expansivity a (1/K) thermal expansivity b (1/K) specific heat a (J/K/kg) specific heat b (J/K/kg) compressibility a (1/Pa) compressibility b (1/Pa) seismic Vp a (m/s) seismic Vp b (m/s) seismic dVp/dT a (m/s/K) seismic dVp/dT b (m/s/K) seismic Vs a (m/s) seismic Vs b (m/s) seismic dVs/dT a (m/s/K) seismic dVs/dT b (m/s/K) molar internal energy a (J/mol) molar internal energy b (J/mol) molar Gibbs a (J/mol) molar Gibbs b (J/mol) molar entropy a (J/mol) molar entropy b (J/mol) molar volume a (m^3/mol) molar volume b (m^3/mol) delta density (kg/m3) delta thermal expansivity (1/K) delta specific heat (J/K/kg) delta compressibility (1/Pa) delta internal energy (J/mol) delta molar Gibbs (J/mol) delta molar entropy (J/K/mol) delta molar volume (m^3/mol)
#
pressure	temperature	depth	density_a	density_b	thermal_expansivity_a	thermal_expansivity_b	specific_heat_a	specific_heat_b	compressibility_a	compressibility_b	pressure_wave_velocity_a	pressure_wave_velocity_b	pressure_wave_velocity_T_derivative_a	pressure_wave_velocity_T_derivative_b	shear_wave_velocity_a	shear_wave_velocity_b	shear_wave_velocity_T_derivative_a	shear_wave_velocity_T_derivative_b	molar_internal_energy_a	molar_internal_energy_b	molar_gibbs_a	molar_gibbs_b	molar_entropy_a	molar_entropy_b	molar_volume_a	molar_volume_b	delta_density	delta_thermal_expansivity	delta_specific_heat	delta_compressibility	delta_molar_internal_energy	delta_molar_gibbs	delta_molar_entropy	delta_molar_volume
1.00000e+05	1.57300e+03	0.00000e+00	3.43741e+03	3.76749e+03	3.43818e-05	4.24890e-05	1.30344e+03	1.35398e+03	6.33819e-12	5.13320e-12	9.25421e+03	9.85305e+03	-6.22399e-01	-5.90912e-01	5.45949e+03	5.83359e+03	-3.81370e-01	-4.94352e-01	-1.78190e+06	-1.69189e+06	-2.32101e+06	-2.24604e+06	3.42727e+02	3.52289e+02	4.09299e-05	3.73441e-05	3.30077e+02	8.10726e-06	5.05392e+01	-1.20499e-12	9.00113e+04	7.49689e+04	9.56264e+00	-3.58583e-06
2.72100e+08	1.57525e+03	8.84345e+03	3.44344e+03	3.77314e+03	3.39922e-05	4.21490e-05	1.30227e+03	1.35287e+03	6.28907e-12	5.10181e-12	9.27356e+03	9.87220e+03	-6.16881e-01	-5.85150e-01	5.46506e+03	5.84242e+03	-3.79245e-01	-4.90349e-01	-1.78208e+06	-1.69213e+06	-2.31065e+06	-2.23668e+06	3.42608e+02	3.52131e+02	4.08583e-05	3.72882e-05	3.29696e+02	8.15685e-06	5.06071e+01	-1.18726e-12	8.99476e+04	7.39743e+04	9.52352e+00	-3.57007e-06
5.44100e+08	1.57748e+03	1.76017e+04	3.44943e+03	3.77875e+03	3.36118e-05	4.18166e-05	1.30112e+03	1.35179e+03	6.24083e-12	5.07089e-12	9.29275e+03	9.89119e+03	-6.11497e-01	-5.79539e-01	5.47055e+03	5.85116e+03	-3.77172e-01	-4.86442e-01	-1.78223e+06	-1.69235e+06	-2.30031e+06	-2.22733e+06	3.42492e+02	3.51976e+02	4.07873e-05	3.72328e-05	3.29322e+02	8.20480e-06	5.06698e+01	-1.16995e-12	8.98781e+04	7.29841e+04	9.48346e+00	-3.55453e-06
8.16099e+08	1.57971e+03	2.62776e+04	3.45538e+03	3.78433e+03	3.32404e-05	4.14915e-05	1.30001e+03	1.35074e+03	6.19347e-12	5.04043e-12	9.31178e+03	9.91003e+03	-6.06243e-01	-5.74071e-01	5.47599e+03	5.85981e+03	-3.75149e-01	-4.82626e-01	-1.78236e+06	-1.69256e+06	-2.28999e+06	-2.21799e+06	3.42380e+02	3.51822e+02	4.07171e-05	3.71779e-05	3.28954e+02	8.25116e-06	5.07275e+01	-1.15303e-12	8.98030e+04	7.19983e+04	9.44249e+00	-3.53922e-06
1.08810e+09	1.58211e+03	3.48708e+04	3.46127e+03	3.78986e+03	3.28792e-05	4.11752e-05	1.29895e+03	1.34974e+03	6.14712e-12	5.01053e-12	9.33054e+03	9.92862e+03	-6.01142e-01	-5.68775e-01	5.48129e+03	5.86830e+03	-3.73188e-01	-4.78928e-01	-1.78243e+06	-1.69271e+06	-2.27975e+06	-2.20873e+06	3.42291e+02	3.51693e+02	4.06478e-05	3.71237e-05	3.28586e+02	8.29608e-06	5.07877e+01	-1.13659e-12	8.97238e+04	7.10151e+04	9.40149e+00	-3.52410e-06
1.36010e+09	1.58727e+03	4.34079e+04	3.46681e+03	3.79492e+03	3.25514e-05	4.08928e-05	1.29819e+03	1.34914e+03	6.10418e-12	4.98261e-12	9.34749e+03	9.94550e+03	-5.96578e-01	-5.64111e-01	5.48551e+03	5.87540e+03	-3.71468e-01	-4.75749e-01	-1.78198e+06	-1.69233e+06	-2.27047e+06	-2.20046e+06	3.42526e+02	3.51898e+02	4.05828e-05	3.70742e-05	3.28106e+02	8.34140e-06	5.09505e+01	-1.12156e-12	8.96584e+04	7.00101e+04	9.37217e+00	-3.50865e-06
1.63210e+09	1.59240e+03	5.19128e+04	3.47233e+03	3.79996e+03	3.22300e-05	4.06153e-05	1.29744e+03	1.34855e+03	6.06189e-12	4.95505e-12	9.36433e+03	9.96229e+03	-5.92107e-01	-5.59541e-01	5.48969e+03	5.88245e+03	-3.69784e-01	-4.72628e-01	-1.78152e+06	-1.69193e+06	-2.26120e+06	-2.19219e+06	3.42757e+02	3.52099e+02	4.05184e-05	3.70250e-05	3.27634e+02	8.38529e-06	5.11075e+01	-1.10684e-12	8.95875e+04	6.90099e+04	9.34188e+00	-3.49339e-06
1.90410e+09	1.59748e+03	6.03830e+04	3.47781e+03	3.80498e+03	3.19148e-05	4.03426e-05	1.29671e+03	1.34797e+03	6.02024e-12	4.92784e-12	9.38107e+03	9.97898e+03	-5.87728e-01	-5.55063e-01	5.49383e+03	5.88947e+03	-3.68135e-01	-4.69563e-01	-1.78104e+06	-1.69153e+06	-2.25193e+06	-2.18391e+06	3.42985e+02	3.52296e+02	4.04544e-05	3.69761e-05	3.27170e+02	8.42778e-06	5.12588e+01	-1.09240e-12	8.95110e+04	6.80144e+04	9.31063e+00	-3.47833e-06
2.17610e+09	1.60257e+03	6.88203e+04	3.48327e+03	3.80998e+03	3.16060e-05	4.00750e-05	1.29600e+03	1.34740e+03	5.97926e-12	4.90099e-12	9.39769e+03	9.99556e+03	-5.83428e-01	-5.50681e-01	5.49791e+03	5.89642e+03	-3.66517e-01	-4.66559e-01	-1.78054e+06	-1.69111e+06	-2.24268e+06	-2.17565e+06	3.43216e+02	3.52495e+02	4.03911e-05	3.69276e-05	3.26710e+02	8.46895e-06	5.14063e+01	-1.07827e-12	8.94295e+04	6.70230e+04	9.27867e+00	-3.46346e-06
2.44810e+09	1.60782e+03	7.72259e+04	3.48868e+03	3.81493e+03	3.13048e-05	3.98138e-05	1.29532e+03	1.34687e+03	5.93906e-12	4.87458e-12	9.41408e+03	1.00119e+04	-5.79246e-01	-5.46419e-01	5.50189e+03	5.90324e+03	-3.64947e-01	-4.63637e-01	-1.78000e+06	-1.69065e+06	-2.23350e+06	-2.16747e+06	3.43467e+02	3.52714e+02	4.03285e-05	3.68797e-05	3.26249e+02	8.50894e-06	5.15563e+01	-1.06448e-12	8.93442e+04	6.60343e+04	9.24673e+00	-3.44873e-06
