# This ASPECT-compatible file contains data to calculate the thermodynamic driving force in the ReactionKinetics material model. This table is for upper-mtz -> lower-mtz evaluated along an isentrope produced by the BurnMan software.
# POINTS: 501
#
# pressure (Pa) temperature (K) depth (m) density a (kg/m3) density b (kg/m3) thermal expansivity a (1/K) thermal expansivity b (1/K) specific heat a (J/K/kg) specific heat b (J/K/kg) compressibility a (1/Pa) compressibility b (1/Pa) seismic Vp a (m/s) seismic Vp b (m/s) seismic dVp/dT a (m/s/K) seismic dVp/dT b (m/s/K) seismic Vs a (m/s) seismic Vs b (m/s) seismic dVs/dT a (m/s/K) seismic dVs/dT b (m/s/K) molar internal energy a (J/mol) molar internal energy b (J/mol) molar Gibbs a (J/mol) molar Gibbs b (J/mol) molar entropy a (J/mol) molar entropy b (J/mol) molar volume a (m^3/mol) molar volume b (m^3/mol) delta density (kg/m3) delta thermal expansivity (1/K) delta specific heat (J/K/kg) delta compressibility (1/Pa) delta internal energy (J/mol) delta molar Gibbs (J/mol) delta molar entropy (J/K/mol) delta molar volume (m^3/mol)
#
pressure	temperature	depth	density_a	density_b	thermal_expansivity_a	thermal_expansivity_b	specific_heat_a	specific_heat_b	compressibility_a	compressibility_b	pressure_wave_velocity_a	pressure_wave_velocity_b	pressure_wave_velocity_T_derivative_a	pressure_wave_velocity_T_derivative_b	shear_wave_velocity_a	shear_wave_velocity_b	shear_wave_velocity_T_derivative_a	shear_wave_velocity_T_derivative_b	molar_internal_energy_a	molar_internal_energy_b	molar_gibbs_a	molar_gibbs_b	molar_entropy_a	molar_entropy_b	molar_volume_a	molar_volume_b	delta_density	delta_thermal_expansivity	delta_specific_heat	delta_compressibility	delta_molar_internal_energy	delta_molar_gibbs	delta_molar_entropy	delta_molar_volume
1.00000e+05	1.57300e+03	0.00000e+00	3.32849e+03	3.43741e+03	4.14913e-05	3.43818e-05	1.33120e+03	1.30344e+03	7.04375e-12	6.33819e-12	8.83850e+03	9.25421e+03	-7.30841e-01	-6.22399e-01	5.15748e+03	5.45949e+03	-4.93586e-01	-3.81370e-01	-1.78816e+06	-1.78190e+06	-2.34021e+06	-2.32101e+06	3.50958e+02	3.42727e+02	4.22699e-05	4.09299e-05	1.08924e+02	-7.10957e-06	-2.77594e+01	-7.05558e-13	6.25961e+03	1.92079e+04	-8.23169e+00	-1.34002e-06
2.72100e+08	1.57525e+03	8.84345e+03	3.33508e+03	3.44344e+03	4.09652e-05	3.39922e-05	1.32946e+03	1.30227e+03	6.98328e-12	6.28907e-12	8.86070e+03	9.27356e+03	-7.22931e-01	-6.16881e-01	5.16538e+03	5.46506e+03	-4.89877e-01	-3.79245e-01	-1.78847e+06	-1.78208e+06	-2.32952e+06	-2.31065e+06	3.50752e+02	3.42608e+02	4.21864e-05	4.08583e-05	1.08358e+02	-6.97299e-06	-2.71895e+01	-6.94215e-13	6.39614e+03	1.88635e+04	-8.14393e+00	-1.32810e-06
5.44100e+08	1.57748e+03	1.76017e+04	3.34163e+03	3.44943e+03	4.04535e-05	3.36118e-05	1.32777e+03	1.30112e+03	6.92405e-12	6.24083e-12	8.88268e+03	9.29275e+03	-7.15247e-01	-6.11497e-01	5.17318e+03	5.47055e+03	-4.86270e-01	-3.77172e-01	-1.78876e+06	-1.78223e+06	-2.31884e+06	-2.30031e+06	3.50550e+02	3.42492e+02	4.21037e-05	4.07873e-05	1.07802e+02	-6.84166e-06	-2.66422e+01	-6.83220e-13	6.52687e+03	1.85219e+04	-8.05797e+00	-1.31641e-06
8.16099e+08	1.57971e+03	2.62776e+04	3.34812e+03	3.45538e+03	3.99557e-05	3.32404e-05	1.32613e+03	1.30001e+03	6.86602e-12	6.19347e-12	8.90445e+03	9.31178e+03	-7.07778e-01	-6.06243e-01	5.18089e+03	5.47599e+03	-4.82760e-01	-3.75149e-01	-1.78901e+06	-1.78236e+06	-2.30817e+06	-2.28999e+06	3.50353e+02	3.42380e+02	4.20220e-05	4.07171e-05	1.07255e+02	-6.71530e-06	-2.61162e+01	-6.72557e-13	6.65205e+03	1.81832e+04	-7.97374e+00	-1.30494e-06
1.08810e+09	1.58211e+03	3.48708e+04	3.35455e+03	3.46127e+03	3.94735e-05	3.28792e-05	1.32456e+03	1.29895e+03	6.80937e-12	6.14712e-12	8.92587e+03	9.33054e+03	-7.00557e-01	-6.01142e-01	5.18841e+03	5.48129e+03	-4.79367e-01	-3.73188e-01	-1.78921e+06	-1.78243e+06	-2.29760e+06	-2.27975e+06	3.50183e+02	3.42291e+02	4.19415e-05	4.06478e-05	1.06721e+02	-6.59431e-06	-2.56156e+01	-6.62254e-13	6.77127e+03	1.78489e+04	-7.89160e+00	-1.29376e-06
1.36010e+09	1.58727e+03	4.34079e+04	3.36057e+03	3.46681e+03	3.90386e-05	3.25514e-05	1.32340e+03	1.29819e+03	6.75703e-12	6.10418e-12	8.94516e+03	9.34749e+03	-6.94139e-01	-5.96578e-01	5.19453e+03	5.48551e+03	-4.76408e-01	-3.71468e-01	-1.78886e+06	-1.78198e+06	-2.28801e+06	-2.27047e+06	3.50343e+02	3.42526e+02	4.18665e-05	4.05828e-05	1.06247e+02	-6.48725e-06	-2.52098e+01	-6.52858e-13	6.87672e+03	1.75389e+04	-7.81725e+00	-1.28365e-06
1.63210e+09	1.59240e+03	5.19128e+04	3.36655e+03	3.47233e+03	3.86136e-05	3.22300e-05	1.32226e+03	1.29744e+03	6.70559e-12	6.06189e-12	8.96431e+03	9.36433e+03	-6.87869e-01	-5.92107e-01	5.20059e+03	5.48969e+03	-4.73515e-01	-3.69784e-01	-1.78850e+06	-1.78152e+06	-2.27843e+06	-2.26120e+06	3.50501e+02	3.42757e+02	4.17921e-05	4.05184e-05	1.05779e+02	-6.38358e-06	-2.48166e+01	-6.43702e-13	6.97812e+03	1.72310e+04	-7.74412e+00	-1.27371e-06
1.90410e+09	1.59748e+03	6.03830e+04	3.37250e+03	3.47781e+03	3.81980e-05	3.19148e-05	1.32115e+03	1.29671e+03	6.65502e-12	6.02024e-12	8.98332e+03	9.38107e+03	-6.81741e-01	-5.87728e-01	5.20659e+03	5.49383e+03	-4.70684e-01	-3.68135e-01	-1.78812e+06	-1.78104e+06	-2.26885e+06	-2.25193e+06	3.50658e+02	3.42985e+02	4.17184e-05	4.04544e-05	1.05318e+02	-6.28317e-06	-2.44355e+01	-6.34778e-13	7.07557e+03	1.69251e+04	-7.67217e+00	-1.26393e-06
2.17610e+09	1.60257e+03	6.88203e+04	3.37841e+03	3.48327e+03	3.77920e-05	3.16060e-05	1.32006e+03	1.29600e+03	6.60534e-12	5.97926e-12	9.00217e+03	9.39769e+03	-6.75761e-01	-5.83428e-01	5.21252e+03	5.49791e+03	-4.67921e-01	-3.66517e-01	-1.78771e+06	-1.78054e+06	-2.25930e+06	-2.24268e+06	3.50818e+02	3.43216e+02	4.16454e-05	4.03911e-05	1.04864e+02	-6.18600e-06	-2.40671e+01	-6.26086e-13	7.16907e+03	1.66215e+04	-7.60147e+00	-1.25431e-06
2.44810e+09	1.60782e+03	7.72259e+04	3.38426e+03	3.48868e+03	3.73973e-05	3.13048e-05	1.31903e+03	1.29532e+03	6.55671e-12	5.93906e-12	9.02074e+03	9.41408e+03	-6.69954e-01	-5.79246e-01	5.21831e+03	5.50189e+03	-4.65240e-01	-3.64947e-01	-1.78725e+06	-1.78000e+06	-2.24982e+06	-2.23350e+06	3.51000e+02	3.43467e+02	4.15734e-05	4.03285e-05	1.04419e+02	-6.09241e-06	-2.37148e+01	-6.17649e-13	7.25834e+03	1.63213e+04	-7.53231e+00	-1.24490e-06
2.72010e+09	1.61316e+03	8.56007e+04	3.39006e+03	3.49405e+03	3.70123e-05	3.10103e-05	1.31804e+03	1.29466e+03	6.50899e-12	5.89955e-12	9.03911e+03	9.43031e+03	-6.64306e-01	-5.75161e-01	5.22398e+03	5.50579e+03	-4.62632e-01	-3.63414e-01	-1.78676e+06	-1.77941e+06	-2.24040e+06	-2.22438e+06	3.51194e+02	3.43730e+02	4.15022e-05	4.02665e-05	1.03982e+02	-6.00199e-06	-2.33759e+01	-6.09440e-13	7.34375e+03	1.60240e+04	-7.46447e+00	-1.23567e-06
2.99210e+09	1.61858e+03	9.39442e+04	3.39582e+03	3.49938e+03	3.66367e-05	3.07221e-05	1.31708e+03	1.29403e+03	6.46217e-12	5.86072e-12	9.05726e+03	9.44636e+03	-6.58786e-01	-5.71169e-01	5.22955e+03	5.50961e+03	-4.60085e-01	-3.61919e-01	-1.78622e+06	-1.77880e+06	-2.23103e+06	-2.21530e+06	3.51401e+02	3.44003e+02	4.14318e-05	4.02051e-05	1.03553e+02	-5.91459e-06	-2.30496e+01	-6.01449e-13	7.42545e+03	1.57294e+04	-7.39790e+00	-1.22661e-06
3.26410e+09	1.62381e+03	1.02256e+05	3.40158e+03	3.50470e+03	3.62673e-05	3.04380e-05	1.31612e+03	1.29340e+03	6.41593e-12	5.82231e-12	9.07540e+03	9.46242e+03	-6.53361e-01	-5.67229e-01	5.23515e+03	5.51346e+03	-4.57576e-01	-3.60442e-01	-1.78570e+06	-1.77820e+06	-2.22160e+06	-2.20617e+06	3.51587e+02	3.44255e+02	4.13617e-05	4.01441e-05	1.03126e+02	-5.82929e-06	-2.27289e+01	-5.93619e-13	7.50423e+03	1.54355e+04	-7.33200e+00	-1.21764e-06
3.53610e+09	1.62784e+03	1.10542e+05	3.40744e+03	3.51012e+03	3.58936e-05	3.01502e-05	1.31506e+03	1.29267e+03	6.36929e-12	5.78352e-12	9.09417e+03	9.47904e+03	-6.47843e-01	-5.63217e-01	5.24122e+03	5.51769e+03	-4.54996e-01	-3.58922e-01	-1.78537e+06	-1.77779e+06	-2.21178e+06	-2.19664e+06	3.51641e+02	3.44376e+02	4.12906e-05	4.00821e-05	1.02686e+02	-5.74343e-06	-2.23914e+01	-5.85776e-13	7.58230e+03	1.51349e+04	-7.26484e+00	-1.20849e-06
3.80810e+09	1.63194e+03	1.18805e+05	3.41325e+03	3.51551e+03	3.55289e-05	2.98685e-05	1.31403e+03	1.29197e+03	6.32351e-12	5.74537e-12	9.11273e+03	9.49549e+03	-6.42464e-01	-5.59294e-01	5.24720e+03	5.52184e+03	-4.52480e-01	-3.57438e-01	-1.78501e+06	-1.77735e+06	-2.20200e+06	-2.18716e+06	3.51705e+02	3.44507e+02	4.12202e-05	4.00207e-05	1.02252e+02	-5.66041e-06	-2.20662e+01	-5.78140e-13	7.65677e+03	1.48371e+04	-7.19891e+00	-1.19950e-06
