# This ASPECT-compatible file contains data to calculate the thermodynamic driving force in the PhaseTransitionKinetics material model. This table is for olivine <==> wadsleyite evaluated along an isentrope produced by the BurnMan software.
# POINTS: 501
#
# pressure (Pa), temperature (K), density a (kg/m3), density b (kg/m3), thermal expansivity a (1/K), thermal expansivity b (1/K), specific heat a (J/K/kg), specific heat b (J/K/kg), compressibility a (1/Pa), compressibility b (1/Pa), seismic Vp a (m/s), seismic Vp b (m/s), seismic dVp/dT a (m/s/K), seismic dVp/dT b (m/s/K), seismic Vs a (m/s), seismic Vs b (m/s), seismic dVs/dT a (m/s/K), seismic dVs/dT b (m/s/K), molar internal energy a (J/mol), molar internal energy b (J/mol), molar Gibbs a (J/mol), molar Gibbs b (J/mol), molar entropy a (J/mol), molar entropy b (J/mol), molar volume a (m^3/mol), molar volume b (m^3/mol), delta density (kg/m3), delta thermal expansivity (1/K), delta specific heat (J/K/kg), delta compressibility (1/Pa), delta internal energy (J/mol), delta molar Gibbs (J/mol), delta molar entropy (J/K/mol), delta molar volume (m^3/mol)
pressure	temperature	density_a	density_b	thermal_expansivity_a	thermal_expansivity_b	specific_heat_a	specific_heat_b	compressibility_a	compressibility_b	pressure_wave_velocity_a	pressure_wave_velocity_b	pressure_wave_velocity_T_derivative_a	pressure_wave_velocity_T_derivative_b	shear_wave_velocity_a	shear_wave_velocity_b	shear_wave_velocity_T_derivative_a	shear_wave_velocity_T_derivative_b	molar_internal_energy_a	molar_internal_energy_b	molar_gibbs_a	molar_gibbs_b	molar_entropy_a	molar_entropy_b	molar_volume_a	molar_volume_b	delta_density	delta_thermal_expansivity	delta_specific_heat	delta_compressibility	delta_molar_internal_energy	delta_molar_gibbs	delta_molar_entropy	delta_molar_volume
1.0000000000e+05	1.5730000000e+03	3.3260606826e+03	3.5874959554e+03	4.2408412614e-05	4.0968855704e-05	1.2106060504e+03	1.2217986005e+03	9.4035235877e-12	7.0348508922e-12	7.3826929083e+03	8.3268972160e+03	-6.8743728493e-01	-6.7057964749e-01	4.1107902434e+03	4.7207234488e+03	-4.3426651049e-01	-4.4087126656e-01	-1.6721003273e+06	-1.6480646380e+06	-2.2712606435e+06	-2.2371783236e+06	3.8090586500e+02	3.7451872799e+02	4.6093987642e-05	4.2734933197e-05	2.6143527279e+02	-1.4395569098e-06	1.1192550072e+01	-2.3686726955e-12	2.4035689328e+04	3.4082319946e+04	-6.3871370140e+00	-3.3590544443e-06
2.7209980000e+08	1.5752464034e+03	3.3348380734e+03	3.5945905475e+03	4.1666316532e-05	4.0451428643e-05	1.2086718087e+03	1.2202258710e+03	9.2892151273e-12	6.9746168819e-12	7.4095681241e+03	8.3493610328e+03	-6.7775004303e-01	-6.6311925097e-01	4.1189278635e+03	4.7295562150e+03	-4.3069257945e-01	-4.3740698279e-01	-1.6724957580e+06	-1.6483767995e+06	-2.2595950050e+06	-2.2264070117e+06	3.8064419586e+02	3.7431314072e+02	4.5972666926e-05	4.2650587870e-05	2.5975247408e+02	-1.2148878894e-06	1.1554062255e+01	-2.3145982454e-12	2.4118958499e+04	3.3187993289e+04	-6.3310551388e+00	-3.3220790564e-06
5.4409960000e+08	1.5774814598e+03	3.3435219011e+03	3.6016324322e+03	4.0952029320e-05	3.9948154275e-05	1.2068198068e+03	1.2187017698e+03	9.1782363705e-12	6.9156122175e-12	7.4360684980e+03	8.3716000364e+03	-6.6846459724e-01	-6.5587311445e-01	4.1269267584e+03	4.7382850265e+03	-4.2725925377e-01	-4.3403857147e-01	-1.6728464026e+06	-1.6486593357e+06	-2.2479572069e+06	-2.2156538087e+06	3.8039087203e+02	3.7411233239e+02	4.5853266267e-05	4.2567197760e-05	2.5811053113e+02	-1.0038750449e-06	1.1881963016e+01	-2.2626241530e-12	2.4187066932e+04	3.2303398243e+04	-6.2785396366e+00	-3.2860685073e-06
8.1609940000e+08	1.5797052551e+03	3.3521151180e+03	3.6086228039e+03	4.0263909249e-05	3.9458430203e-05	1.2050448120e+03	1.2172240630e+03	9.0704251439e-12	6.8577952119e-12	7.4622079584e+03	8.3936199455e+03	-6.5955424498e-01	-6.4883172456e-01	4.1347918671e+03	4.7469124975e+03	-4.2395805244e-01	-4.3076194603e-01	-1.6731537970e+06	-1.6489129830e+06	-2.2363467926e+06	-2.2049185050e+06	3.8014552884e+02	3.7391614072e+02	4.5735720464e-05	4.2484739561e-05	2.5650768594e+02	-8.0547904562e-07	1.2179250956e+01	-2.2126299321e-12	2.4240814021e+04	3.1428287606e+04	-6.2293881203e+00	-3.2509809028e-06
1.0880992000e+09	1.5821057384e+03	3.3605955208e+03	3.6155363161e+03	3.9602924949e-05	3.8984032640e-05	1.2033608237e+03	1.2158121779e+03	8.9659561950e-12	6.8013452626e-12	7.4878772577e+03	8.4153055923e+03	-6.5103237108e-01	-6.4202475558e-01	4.1424487867e+03	4.7553608039e+03	-4.2079893906e-01	-4.2759415601e-01	-1.6733851059e+06	-1.6491037685e+06	-2.2248346944e+06	-2.1942711081e+06	3.7992973138e+02	3.7374654639e+02	4.5620307190e-05	4.2403501609e-05	2.5494079533e+02	-6.1889230901e-07	1.2451354222e+01	-2.1646109324e-12	2.4281337428e+04	3.0563586305e+04	-6.1831849909e+00	-3.2168055804e-06
1.3600990000e+09	1.5872728551e+03	3.3686266680e+03	3.6220133285e+03	3.9000303149e-05	3.8555640844e-05	1.2020146849e+03	1.2147542543e+03	8.8690095562e-12	6.7491598770e-12	7.5114277177e+03	8.4350196167e+03	-6.4336907340e-01	-6.3595490481e-01	4.1488213532e+03	4.7625342659e+03	-4.1800964879e-01	-4.2481073676e-01	-1.6730711320e+06	-1.6487562071e+06	-2.2144042401e+06	-2.1846793000e+06	3.8004386659e+02	3.7390730789e+02	4.5511543757e-05	4.2327674168e-05	2.5338666049e+02	-4.4466230414e-07	1.2739569311e+01	-2.1198496793e-12	2.4314924900e+04	2.9724940105e+04	-6.1365586999e+00	-3.1838695886e-06
1.6320988000e+09	1.5923977413e+03	3.3765893640e+03	3.6284542964e+03	3.8416571893e-05	3.8136877302e-05	1.2007155381e+03	1.2137214239e+03	8.7744569368e-12	6.6978634833e-12	7.5347193910e+03	8.4545867212e+03	-6.3596615254e-01	-6.3002689840e-01	4.1551030171e+03	4.7696438158e+03	-4.1531277547e-01	-4.2209024316e-01	-1.6727275621e+06	-1.6483910308e+06	-2.2039877135e+06	-2.1750930552e+06	3.8015899268e+02	3.7406630526e+02	4.5404218124e-05	4.2252537162e-05	2.5186493238e+02	-2.7969459075e-07	1.3005885801e+01	-2.0765934536e-12	2.4336531284e+04	2.8894658246e+04	-6.0926874149e+00	-3.1516809620e-06
1.9040986000e+09	1.5974809127e+03	3.3844853156e+03	3.6348597894e+03	3.7850814417e-05	3.7727416666e-05	1.1994609134e+03	1.2127127927e+03	8.6822022053e-12	6.6474322147e-12	7.5577598088e+03	8.4740095362e+03	-6.2881115749e-01	-6.2423580133e-01	4.1612964171e+03	4.7766906204e+03	-4.1270419143e-01	-4.1943055212e-01	-1.6723552955e+06	-1.6480086000e+06	-2.1935849199e+06	-2.1655123582e+06	3.8027498905e+02	3.7422354961e+02	4.5298290790e-05	4.2178078078e-05	2.5037447374e+02	-1.2339775085e-07	1.3251879316e+01	-2.0347699906e-12	2.4346695414e+04	2.8072561761e+04	-6.0514394416e+00	-3.1202127111e-06
2.1760984000e+09	1.6025686932e+03	3.3923103548e+03	3.6412241337e+03	3.7302698974e-05	3.7327462498e-05	1.1982526850e+03	1.2117324040e+03	8.5922252851e-12	6.5978920654e-12	7.5805276344e+03	8.4932622727e+03	-6.2189695992e-01	-6.1858533545e-01	4.1673852763e+03	4.7836567137e+03	-4.1018308712e-01	-4.1683429268e-01	-1.6719469423e+06	-1.6476009096e+06	-2.1832131002e+06	-2.1559543470e+06	3.8039699586e+02	3.7438436385e+02	4.5193801264e-05	4.2104356768e-05	2.4891377893e+02	2.4763523936e-08	1.3479719026e+01	-1.9943332197e-12	2.4346032625e+04	2.7258753210e+04	-6.0126320008e+00	-3.0894444955e-06
2.4480982000e+09	1.6078215022e+03	3.4000462453e+03	3.6475264773e+03	3.6773143308e-05	3.6938429458e-05	1.1971026792e+03	1.2107960040e+03	8.5046743265e-12	6.5493853165e-12	7.6029321515e+03	8.5122500888e+03	-6.1523511392e-01	-6.1310121242e-01	4.1733070965e+03	4.7904772650e+03	-4.0775704580e-01	-4.1431641278e-01	-1.6714747004e+06	-1.6471392930e+06	-2.1729329448e+06	-2.1464789287e+06	3.8054310015e+02	3.7456716230e+02	4.5090974928e-05	4.2031607160e-05	2.4748023200e+02	1.6528614959e-07	1.3693324860e+01	-1.9552890100e-12	2.4335407466e+04	2.6454016112e+04	-5.9759378503e+00	-3.0593677677e-06
