# Data for ascii data reference state generated by discretizing the 
# profile given by Steinberger and Calderwood (2006) in their Fig. 5.
# The profile represents the scaling of temperature anomalies with vs 
# anomalies.
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 61
# Columns: depth (m), temperature_scaling (K)
depth temperature_scaling
73800.73801 -5887.64045
84870.84871 -6036.86636
95940.95941 -6208.53081
118081.18081 -6374.69586
137453.87454 -6501.24069
156826.56827 -6607.81841
178966.78967 -6717.94872
201107.01107 -6849.67320
217712.17712 -7005.34759
223247.23247 -7158.46995
239852.39852 -7338.93557
267527.67528 -7583.21274
303505.53506 -7867.86787
328413.28413 -8187.50000
350553.50554 -8506.49351
383763.83764 -8881.35593
405904.05904 -9458.48375
411439.11439 -10194.55253
425276.75277 -10826.44628
455719.55720 -11391.30435
488929.88930 -11963.47032
516605.16605 -11696.42857
544280.44280 -11391.30435
577490.77491 -11963.47032
616236.16236 -12446.55582
677121.77122 -13067.33167
726937.26937 -13610.38961
809963.09963 -14356.16438
898523.98524 -15057.47126
970479.70480 -15688.62275
1047970.47970 -16323.98754
1130996.30996 -16903.22581
1197416.97417 -17350.99338
1269372.69373 -17883.95904
1335793.35793 -18321.67832
1413284.13284 -18985.50725
1479704.79705 -19407.40741
1551660.51661 -19923.95437
1629151.29151 -20468.75000
1684501.84502 -20960.00000
1756457.56458 -21300.81301
1817343.17343 -21833.33333
1894833.94834 -22393.16239
1983394.83395 -22882.09607
2049815.49815 -23392.85714
2127306.27306 -23818.18182
2204797.04797 -24485.98131
2276752.76753 -24952.38095
2343173.43173 -25314.00966
2409594.09594 -25686.27451
2487084.87085 -26200.00000
2542435.42435 -26598.98477
2608856.08856 -26734.69388
2658671.58672 -26069.65174
2714022.14022 -25686.27451
2774907.74908 -24952.38095
2813653.13653 -23818.18182
2846863.46863 -22016.80672
2869003.69004 -19552.23881
2874538.74539 -18068.96552
2880073.80074 -17012.98701
