# A gravity profile that follows the description of
# the preliminary reference Earth model (PREM) by
# Dziewonski & Anderson (1981),
# https://doi.org/10.1016/0031-9201(81)90046-7.
#
# POINTS: 44
# Columns: depth[km] gravity[m/s^2]
depth gravity
0 9.816
3000 9.822
15000 9.833
24000 9.839
80000 9.855
150000 9.878
220000 9.905
310000 9.936
400000 9.969
500000 9.988
600000 10.004
670000 10.014
771000 9.999
971000 9.97
1171000 9.947
1371000 9.933
1571000 9.931
1771000 9.947
1971000 9.986
2171000 10.054
2371000 10.158
2571000 10.31
2741000 10.484
2771000 10.52
2891000 10.682
2971000 10.507
3171000 10.046
3371000 9.557
3571000 9.041
3771000 8.502
3971000 7.943
4171000 7.365
4371000 6.772
4571000 6.167
4771000 5.555
4971000 4.941
5149000 4.4
5171000 4.325
5371000 3.62
5571000 2.907
5771000 2.186
5971000 1.46
6171000 0.731
6371000 0
