# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 26 8
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
539.7043919876529 0.0 272.9999999999999 3205.1524651112786 1.9315275326748082e-05 831.6750379756444 8.111155476074913 4.9038120560535114 -14351388.531064268
629.6799948362325 0.0 302.9873608330623 3203.2182706891685 2.0899923788912097e-05 893.9279225413976 8.094933317608177 4.89551201883225 -14325483.345850429
719.6555976848101 0.0 334.09346557188184 3201.065289712512 2.2292404203195626e-05 946.427371981903 8.076915150736552 4.8863171844258275 -14296831.974825658
809.6312005333896 0.0 366.59648630412556 3198.680475030893 2.3535418225956224e-05 990.9943008551619 8.057004575642098 4.876186364473278 -14265320.89432706
899.6068033819677 0.0 400.7396312402197 3196.048171146743 2.4662961399850083e-05 1029.0441672247096 8.035085799785733 4.865070054968826 -14230813.28705072
989.582406230546 0.0 436.7476805748085 3193.1500771598476 2.5702962198288018e-05 1061.7009695694653 8.011023956676507 4.852910995159586 -14193151.374245238
1079.558009079125 0.0 474.83670198040926 3189.965105314019 2.6679066735551452e-05 1089.8727951853407 7.984664587577495 4.839644347451507 -14152157.60071213
1169.5336119277035 0.0 515.2201313107282 3186.4691364130877 2.7611918745296916e-05 1114.3040684930647 7.955832412074365 4.825197617239359 -14107635.125147393
1259.5092147762816 0.0 558.112769431308 3182.6346803757806 2.8520134366111327e-05 1135.6130200132645 7.924329485349999 4.809490386800889 -14059367.865200222
1349.4848176248609 0.0 603.7334959708481 3178.4304335298866 2.9421095875108557e-05 1154.3194422550407 7.889932732205283 4.792433898525049 -14007120.244913658
1439.4604204734394 0.0 652.3071298557674 3173.82073313994 3.0331647443491758e-05 1170.8658961561346 7.852390869058743 4.773930518227207 -13950636.738759704
1529.4360233220175 0.0 704.0656468844501 3168.7647963920354 3.126876632613242e-05 1185.634449409592 7.81142019621715 4.753873011251712 -13889641.277987378
1619.411626170597 0.0 759.2489013485756 3163.215969091422 3.225024377774857e-05 1198.960364718999 7.766700268668207 4.732143842656562 -13823836.570626613
1709.387229019175 0.0 818.1048001801416 3157.1205020773664 3.329547864567496e-05 1211.14383746554 7.717867224011143 4.70861413484619 -13752903.38108323
1799.3628318677536 0.0 880.8889533510014 3150.416218345363 3.4426420161720695e-05 1222.460629955841 7.664506374942691 4.683142620735327 -13676499.816551272
1889.3384347163317 0.0 947.8636380293514 3143.0307090973706 3.5668790626091666e-05 1233.1724504491938 7.606142356315157 4.655574349020952 -13594260.67489672
1979.314037564911 0.0 1019.2958938079925 3134.8790298384883 3.705373402768616e-05 1243.5379879202078 7.542226601541339 4.62573919487828 -13505796.92296479
2069.2896404134895 0.0 1095.4544108655919 3125.8606158927714 3.862014480538282e-05 1253.8258085374082 7.472120733275156 4.593450063250469 -13410695.397536077
2159.2652432620675 0.0 1176.6047332033434 3115.8551864094975 4.041807101062445e-05 1264.3308714549014 7.395074608463406 4.558500767699567 -13308518.857385177
2249.240846110646 0.0 1263.0019908531353 3104.717107606147 4.251388666911458e-05 1275.3975380427448 7.310196285468834 4.520663424781277 -13198806.571099453
2339.216448959225 0.0 1354.879912444252 3092.267422494945 4.4998471618353866e-05 1287.454092384541 7.2164097855272065 4.4796851551054075 -13081075.713887947
2429.192051807804 0.0 1452.4341746704258 3078.2825199614194 4.800068091943831e-05 1301.068030034632 7.112395106087582 4.435283948420957 -12954823.990067532
2519.1676546563826 0.0 1555.7964017980237 3062.476717164282 5.171081486292611e-05 1317.0407884702645 6.99649656165223 4.387142757874732 -12819534.138975376
2609.1432575049594 0.0 1664.9928131804875 3044.4755317801837 5.642388301347694e-05 1336.581366397221 6.866581975358342 4.334901356486263 -12674681.406363498
