# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 101 51
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
623.8627408313362 0.0 301.01799999999764 3203.349815595163 2.0803799100396084e-05 890.2202566595492 8.096035531543425 4.896075311620492 -14327240.169895373
647.8171198587775 0.0 309.1579871391143 3202.8022667493933 2.1194551525725122e-05 905.2297818716798 8.09144860099241 4.893731747695139 -14319932.138358766
671.7714988863138 0.0 317.3818265291104 3202.239053498072 2.1572418408659776e-05 919.5797485464132 8.086733218037919 4.891324272881892 -14312428.125073954
695.7258779138452 0.0 325.6948528019935 3201.6599378539586 2.1938229782992454e-05 933.3056548798685 8.081887623492271 4.888852135075695 -14304726.057020655
719.6802569413717 0.0 334.1021704572581 3201.0646685316406 2.2292763625223905e-05 946.4406003522859 8.076909958030251 4.88631453821754 -14296823.736222265
743.6346359688944 0.0 342.6086885697646 3200.452981105166 2.2636750851617987e-05 959.0155038056043 8.071798264154308 4.883710643719845 -14288718.84483141
767.5890149964131 0.0 351.2191502967125 3199.824598099172 2.2970879743837937e-05 971.0592961025999 8.066550487629298 4.8810395716392 -14280408.94944844
791.5433940239303 0.0 359.93815811162244 3199.179229021053 2.329579988580936e-05 982.599090998448 8.061164478452678 4.878300401632031 -14271891.50478593
815.4977730514443 0.0 368.7701955045389 3198.5165703402786 2.3612125680732298e-05 993.6603372501575 8.055637991413874 4.875492173722338 -14263163.856772317
839.4521520789576 0.0 377.719645741652 3197.8363054197275 2.3920439506052254e-05 1004.266954498581 8.049968686286356 4.872613888905639 -14254223.245172067
863.4065311064696 0.0 386.790808163589 3197.1381044029845 2.4221294555138954e-05 1014.4414550573505 8.044154127688028 4.869664509609104 -14245066.805786753
887.3609101339814 0.0 395.98791241205413 3196.4216240606784 2.4515217407005005e-05 1024.2050534148668 8.038191784638709 4.866642960024584 -14235691.572291251
911.3152891614927 0.0 405.3151309035245 3195.686507598343 2.4802710359281367e-05 1033.5777649846943 8.032079029838188 4.863548126328516 -14226094.477750724
935.269668189006 0.0 414.7765898121219 3194.9323844276664 2.50842535546132e-05 1042.5784954153282 8.0258131386836 4.860378856800406 -14216272.35585712
959.2240472165186 0.0 424.3763787783308 3194.1588699025533 2.5360306926434627e-05 1051.2251215833771 8.019391288041192 4.857133961849809 -14206221.941918248
983.1784262440324 0.0 434.1185595235312 3193.365565020994 2.563131198657765e-05 1059.5345652378744 8.012810554784153 4.853812213960149 -14195939.873627719
1007.1328052715476 0.0 444.00717352047167 3192.552056093378 2.5897693474232814e-05 1067.5228601319002 8.006067914105374 4.850412347556405 -14185422.69164009
1031.0871842990648 0.0 454.04624884541937 3191.71791437759 2.6159860883314794e-05 1075.2052133669242 7.999160237611708 4.846933058802669 -14174666.83997235
1055.041563326583 0.0 464.23980631767915 3190.8626956809235 2.6418209883209554e-05 1082.5960615812312 7.992084291203949 4.843373005334605 -14163668.666249944
1078.9959423541031 0.0 474.5918650156032 3189.985939928583 2.6673123646128926e-05 1089.7091225339648 7.984836732744997 4.8397308059310635 -14152424.421813356
1102.9503213816242 0.0 485.1064472444498 3189.087170698325 2.6924974092818215e-05 1096.5574425681416 7.977414109516819 4.83600504012847 -14140930.261699328
1126.9047004091483 0.0 495.7875830199517 3188.1658947205533 2.717412306711188e-05 1103.153440377693 7.969812855465338 4.832194247780958 -14129182.244508928
1150.8590794366742 0.0 506.63931412180756 3187.221601342942 2.742092344877746e-05 1109.5089474534184 7.962029288230768 4.828296928568784 -14117176.33217348
1174.8134584642019 0.0 517.665697763162 3186.2537619584955 2.7665720213196654e-05 1115.635245539725 7.954059605959663 4.824311541457077 -14104908.389628116
1198.7678374917323 0.0 528.8708099152291 3185.2618293956834 2.7908851445687204e-05 1121.5431013966806 7.945899883893372 4.8202365041066 -14092374.184401583
1222.7222165192638 0.0 540.2587483203148 3184.2452372691355 2.8150649317643978e-05 1127.2427991297823 7.937546070726555 4.8160701922378655 -14079569.386130244
