# This is a data table for forsterite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 51 16
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
540.0560421118979 0.0 273.00000000000006 3203.4175761056867 0.0 828.5154143732012 176682.37283713595 4.9022806039276885 -14351287.611866234
583.6131386887132 0.0 287.4563315436084 3203.4175761056867 0.0 859.5107411289972 176682.3728370206 4.899161901324343 -14339082.46742316
627.1702352655288 0.0 302.1476850141067 3203.4175761056867 0.0 887.9411281876856 176682.37283689925 4.895878885877886 -14326242.670975544
670.7273318423444 0.0 317.11120996396147 3203.4175761056867 0.0 914.0593677115265 176682.37283677183 4.892428395882373 -14312757.162351575
714.2844284191594 0.0 332.3806845192452 3203.4175761056867 0.0 938.0862774568982 176682.37283663815 4.888806849020098 -14298613.340506762
757.841524995975 0.0 347.9874196934408 3203.4175761056867 0.0 960.2160044866998 176682.37283649814 4.885010271962511 -14283797.189639684
801.3986215727903 0.0 363.96092550835556 3203.4175761056867 0.0 980.6202193853753 176682.37283635163 4.881034321174864 -14268293.37143555
844.9557181496054 0.0 380.3294126934067 3203.4175761056867 0.0 999.4514781149795 176682.37283619845 4.876874297105251 -14252085.292089915
888.5128147264211 0.0 397.1201783816142 3203.4175761056867 0.0 1016.8459493709918 176682.37283603847 4.872525153272559 -14235155.150148582
932.0699113032363 0.0 414.3599083885768 3203.4175761056867 0.0 1032.9256512743682 176682.3728358715 4.867981501324998 -14217483.969461262
975.6270078800513 0.0 432.07491849990487 3203.4175761056867 0.0 1047.8003036822547 176682.37283569726 4.863237612838799 -14199051.620364692
1019.184104456867 0.0 450.29135051113894 3203.4175761056867 0.0 1061.5688758180536 176682.3728355157 4.858287418416176 -14179836.831389206
1062.7412010336825 0.0 469.03533427420365 3203.4175761056867 0.0 1074.3208897953348 176682.37283532653 4.853124504491844 -14159817.193201264
1106.2982976104977 0.0 488.3331239276323 3203.4175761056867 0.0 1086.1375266410932 176682.3728351295 4.8477421081485925 -14138969.15607519
1149.855394187313 0.0 508.21121434178616 3203.4175761056867 0.0 1097.0925710812328 176682.37283492443 4.842133110162008 -14117268.021880835
1193.4124907641287 0.0 528.6964422893373 3203.4175761056867 0.0 1107.2532235965857 176682.37283471104 4.836290026433767 -14094687.931346009
1236.9695873409437 0.0 549.8160757574121 3203.4175761056867 0.0 1116.6808023763485 176682.37283448907 4.830204997926297 -14071201.847181289
1280.526683917759 0.0 571.5978940205264 3203.4175761056867 0.0 1125.4313532869146 176682.3728342583 4.82386977917501 -14046781.533524182
1324.0837804945747 0.0 594.0702605051575 3203.4175761056867 0.0 1133.5561824832196 176682.37283401843 4.817275725424948 -14021397.532059023
1367.6408770713897 0.0 617.2621900378313 3203.4175761056867 0.0 1141.1023235620091 176682.37283376913 4.810413778414585 -13995019.135090536
1411.197973648206 0.0 641.2034117376097 3203.4175761056867 0.0 1148.1129490067087 176682.3728335102 4.803274450809122 -13967614.355787197
1454.7550702250205 0.0 665.9244285619255 3203.4175761056867 0.0 1154.6277339657265 176682.37283324118 4.795847809268029 -13939149.895761354
1498.3121668018366 0.0 691.4565743212381 3203.4175761056867 0.0 1160.68317903919 176682.37283296185 4.788123456115753 -13909591.110113483
1541.869263378652 0.0 717.8320688282303 3203.4175761056867 0.0 1166.3128976471173 176682.37283267186 4.780090509570031 -13878901.970035866
1585.4263599554674 0.0 745.0840717304807 3203.4175761056867 0.0 1171.5478726582214 176682.37283237078 4.771737582468454 -13847045.023044616
1628.9834565322828 0.0 773.2467354838852 3203.4175761056867 0.0 1176.416686228449 176682.37283205835 4.763052759420524 -13813981.350887131
1672.540553109098 0.0 802.3552578517072 3203.4175761056867 0.0 1180.9457261990092 176682.3728317341 4.754023572298981 -13779670.525153808
1716.0976496859132 0.0 832.445934256684 3203.4175761056867 0.0 1185.1593719085038 176682.3728313977 4.744636973970477 -13744070.560607336
1759.6547462627282 0.0 863.5562102677961 3203.4175761056867 0.0 1189.0801618628145 176682.37283104868 4.7348793101513085 -13707137.866229698
1803.2118428395438 0.0 895.7247344666297 3203.4175761056867 0.0 1192.7289453634319 176682.3728306866 4.724736289258747 -13668827.193975592
1846.7689394163597 0.0 928.991411908842 3203.4175761056867 0.0 1196.125019907385 176682.37283031113 4.714192950112173 -13629091.585210886
1890.3260359931744 0.0 963.3974583725686 3203.4175761056867 0.0 1199.2862559298605 176682.37282992166 4.7032336273204915 -13587882.314806001
1933.8831325699903 0.0 998.9854555665656 3203.4175761056867 0.0 1202.2292102557424 176682.37282951784 4.691841914172897 -13545148.832846055
1977.440229146806 0.0 1035.7994074555868 3203.4175761056867 0.0 1204.9692294523854 176682.3728290991 4.6800006228285485 -13500838.703912541
2020.997325723621 0.0 1073.8847978482077 3203.4175761056867 0.0 1207.5205441276491 176682.37282866496 4.667691741576958 -13454897.543884644
2064.5544223004363 0.0 1113.288649382539 3203.4175761056867 0.0 1209.8963550901863 176682.37282821487 4.65489638891416 -13407268.954202218
2108.111518877251 0.0 1154.0595840374808 3203.4175761056867 0.0 1212.108912180068 176682.37282774827 4.6415947641499695 -13357894.453526761
2151.6686154540675 0.0 1196.2478852911595 3203.4175761056867 0.0 1214.169586483639 176682.37282726457 4.627766094227865 -13306713.40673124
2195.2257120308823 0.0 1239.9055620434883 3203.4175761056867 0.0 1216.0889365653288 176682.37282676328 4.613388576401086 -13253662.951144496
2238.782808607698 0.0 1285.086414416371 3203.4175761056867 0.0 1217.8767692785357 176682.37282624363 4.598439316365239 -13198677.919970835
2282.339905184513 0.0 1331.8461015425703 3203.4175761056867 0.0 1219.542195656204 176682.3728257051 4.582894261398687 -13141690.762800708
