# This is a data table for forsterite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 101 51
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
626.4935173935911 0.0 301.0179999998516 3226.654647146417 2.2210140991089784e-05 892.8741942137684 8.580691488425503 5.028515314266297 -14420751.427133963
650.3224259984546 0.0 309.0909759032669 3226.070989877649 2.260349556151637e-05 907.8025709460416 8.577561903093864 5.026275382668559 -14413482.470092699
674.1513346029762 0.0 317.24642339582147 3225.4713260203534 2.2982086398208023e-05 922.0835658778304 8.574346630435908 5.023974537643575 -14406020.170764929
697.9802432074938 0.0 325.489518392171 3224.8554533582846 2.334676989747776e-05 935.7518090076657 8.571044596773952 5.021612045333741 -14398362.50179611
721.8091518120061 0.0 333.8252143257171 3224.2231582379754 2.3698346539502995e-05 948.8396066788483 8.567654667469984 5.019187129866012 -14390507.315217543
745.638060416516 0.0 342.2582753027986 3223.574215869527 2.403756602563885e-05 961.3771510165816 8.564175648551966 5.01669897460523 -14382452.347341912
769.4669690210213 0.0 350.7933043251463 3222.9083905658485 2.436513182321168e-05 973.3927051112264 8.56060628800993 5.014146723174514 -14374195.22292966
793.2958776255252 0.0 359.4347674542468 3222.225435928588 2.468170520205146e-05 984.9127673860362 8.556945276805951 5.011529480274616 -14365733.458732711
817.1247862300268 0.0 368.18701461484153 3221.525094987533 2.4987908833066184e-05 995.9622180179706 8.553191249634388 5.008846312328566 -14357064.466503669
840.9536948345278 0.0 377.0542975981204 3220.8071002990373 2.528433000783845e-05 1006.5644498178357 8.549342785462228 5.006096247973347 -14348185.555543657
864.7826034390279 0.0 386.0407857183151 3220.071174008111 2.5571523528973994e-05 1016.7414855982212 8.545398407874254 5.003278278416599 -14339093.934849937
888.611512043527 0.0 395.1505794922468 3219.31702787799 2.5850014313338978e-05 1026.5140837475494 8.541356585243607 5.000391357673382 -14329786.714914633
912.4404206480264 0.0 404.38772264461534 3218.544363290371 2.612029974405086e-05 1035.9018334722866 8.537215730744697 4.997434402695543 -14320260.909218034
936.2693292525269 0.0 413.75621268848664 3217.7528712189874 2.6382851801883632e-05 1044.9232409567508 8.532974202222782 4.994406293404234 -14310513.435453191
960.0982378570271 0.0 423.26001028756644 3216.942232178713 2.6638119002411764e-05 1053.5958075125855 8.52863030193194 4.991305872634358 -14300541.116513323
983.927146461529 0.0 432.9030475721741 3216.112116152063 2.6886528161582367e-05 1061.9361006414035 8.5241822761513 4.988131945998421 -14290340.681268878
1007.7560550660314 0.0 442.6892355526199 3215.2621824946123 2.7128486009349097e-05 1069.9598188090138 8.519628314687699 4.984883281675988 -14279908.765157476
1031.5849636705352 0.0 452.62247075062555 3214.3920798206022 2.7364380668421475e-05 1077.681850624057 8.514966550271458 4.98155861013401 -14269241.910606705
1055.4138722750408 0.0 462.7066411504408 3213.5014458697888 2.7594583012995032e-05 1085.1163290241993 8.510195057850794 4.978156623782364 -14258336.567307217
1079.2427808795478 0.0 472.94563155564214 3212.589907356358 2.7819447920466687e-05 1092.2766809967345 8.505311853789316 4.9746759765683235 -14247189.092351228
1103.0716894840573 0.0 483.34332842456274 3211.6570798006214 2.8039315427551368e-05 1099.1756732952465 8.500314894970138 4.971115283512917 -14235795.750249738
1126.9005980885684 0.0 493.9036242464433 3210.7025673439966 2.8254511800854265e-05 1105.8254545580016 8.495202077809333 4.967473120191708 -14224152.7128401
1150.7295066930812 0.0 504.6304215112759 3209.7259625476863 2.846535053078723e-05 1112.2375941857322 8.489971237180741 4.963748022161981 -14212256.059094252
1174.5584152975957 0.0 515.527636318644 3208.7268461753547 2.8672133256707907e-05 1118.4231182948313 8.48462014525355 4.959938484337915 -14200101.774836734
1198.3873239021125 0.0 526.5992016643645 3207.7047869599614 2.887515063029605e-05 1124.392543026176 8.4791465102434 4.956042960314958 -14187685.752380636
1222.2162325066308 0.0 537.849070438232 3206.6593413548712 2.907468312342481e-05 1130.1559054584968 8.4735479750774 4.952059861644312 -14175003.790088693
1246.0451411111517 0.0 549.281218161445 3205.590053269217 2.9271001786138862e-05 1135.7227923481817 8.467822115972742 4.947987557058042 -14162051.591866156
1269.8740497156743 0.0 560.8996454882733 3204.4964537874703 2.946436895978026e-05 1141.1023668936314 8.4619664409284 4.943824371645201 -14148824.766591242
1293.7029583201993 0.0 572.7083804930396 3203.3780608730385 2.9655038949814775e-05 1146.3033937016382 8.45597838812879 4.939568585978955 -14135318.827488588
1317.531866924726 0.0 584.7114807604851 3202.2343790556993 2.9843258662481996e-05 1151.3342621150966 8.449855324257918 4.9352184351945505 -14121529.191450581
1341.3607755292558 0.0 596.913035294971 3201.0648991025623 3.0029268209020186e-05 1156.2030080454174 8.443594542722217 4.930772108017737 -14107451.178311056
1365.1896841355504 0.0 609.3171662626119 3199.8690976721314 3.0213301480906175e-05 1160.9173344393314 8.437193261779315 4.926227745742679 -14093080.010074485
1389.0185927401162 0.0 621.9280305719761 3198.6464369515743 3.039558669917515e-05 1165.4846304950213 8.430648622573013 4.921583441160571 -14078410.810110835
1412.8475013446814 0.0 634.7498213164555 3197.396364275415 3.057634694092169e-05 1169.9119897388039 8.423957687064403 4.916837237432946 -14063438.60230393
1436.6764099492466 0.0 647.7867690679167 3196.118311726833 3.0755800645404074e-05 1174.206227051913 8.417117435865109 4.911987126915097 -14048158.310177691
1460.5053185538113 0.0 661.0431430415792 3194.8116957196858 3.0934162102457683e-05 1178.3738947404427 8.410124765962015 4.9070310499233285 -14032564.755987909
1484.3342271583765 0.0 674.5232521318314 3193.4759165610953 3.111164192549033e-05 1182.4212977267143 8.402976488332012 4.901966893446368 -14016652.659788806
1508.1631357629417 0.0 688.2314458238229 3192.110357993772 3.128844751129011e-05 1186.3545079360583 8.395669325441842 4.8967924897989175 -14000416.638476418
1531.9920443675073 0.0 702.1721149837089 3190.714386717287 3.1464783488754576e-05 1190.179377946694 8.388199908628078 4.89150561521534 -13983851.204811733
1555.820952972072 0.0 716.3496925294359 3189.2873518874117 3.1640852158559234e-05 1193.901553965168 8.380564775351742 4.886103988381339 -13966950.766426373
1579.6498615766375 0.0 730.7686539830426 3187.828584592587 3.181685392570887e-05 1197.5264881851217 8.372760366321865 4.880585268901305 -13949709.624813722
1603.4787701812022 0.0 745.4335179045634 3186.3373973064995 3.199298772686378e-05 1201.0594505830934 8.364783022481461 4.874947055698709 -13932121.974308357
1627.307678785768 0.0 760.3488462068145 3184.8130833156583 3.216945145429071e-05 1204.5055402014154 8.356628981849155 4.869186885346812 -13914181.901056457
1651.1365873903328 0.0 775.5192443495254 3183.2549161207926 3.2346442378266856e-05 1207.8696959650538 8.348294376208997 4.863302230326601 -13895883.381980238
1674.9654959948982 0.0 790.9493614105143 3181.6621488107953 3.2524157569757876e-05 1211.1567070765693 8.339775227640454 4.857290497208755 -13877220.283739164
1698.7944045994634 0.0 806.64389003083 3180.0340134078265 3.270279432519683e-05 1214.371223030855 8.331067444879917 4.851149024756064 -13858186.361690987
1722.6233132040284 0.0 822.6075662300365 3178.369720182121 3.2882550595213954e-05 1217.5177632893224 8.322166819504432 4.844875081942526 -13838775.258855602
1746.4522218085935 0.0 838.8451690870402 3176.668456934901 3.3063625419205084e-05 1220.600726651456 8.313069021927578 4.838465865885029 -13818980.504884934
1770.2811304131585 0.0 855.361520281102 3174.9293882476904 3.324621936767902e-05 1223.6244003601864 8.303769597196622 4.831918499683186 -13798795.515042063
1794.110039017724 0.0 872.1614834868823 3173.151654696231 3.3430534994393354e-05 1226.592968976435 8.294263960579352 4.825230030162642 -13778213.589193007
1817.9389476222896 0.0 889.2499636165533 3171.3343720269886 3.3616777300376325e-05 1229.5105230572435 8.284547392927857 4.818397425516665 -13757227.910814742
1841.7678562268543 0.0 906.6319059011853 3169.4766302941784 3.3805154212035095e-05 1232.3810676713554 8.27461503580573 4.811417572840619 -13735831.546023183
