# This is a data table for forsterite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 51 16
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
542.5588671675619 0.0 273.0 3226.7275187487094 0.0 829.9104801964563 176043.0376506157 5.034091485305877 -14444835.570818394
586.099095269802 0.0 287.42791277457917 3226.7275187487094 0.0 860.7022111706837 176043.03765050942 5.031304151896282 -14432635.780612634
629.6393233720424 0.0 302.0930821384345 3226.7275187487094 0.0 888.9475143342482 176043.03765039766 5.0283704770498225 -14419802.771488538
673.1795514742822 0.0 317.0323174528419 3226.7275187487094 0.0 914.8969252663276 176043.03765028028 5.025287654274041 -14406325.397998674
716.7197795765215 0.0 332.2791352330288 3226.7275187487094 0.0 938.7693798773873 176043.0376501572 5.022052507382155 -14392190.98743038
760.2600076787622 0.0 347.86464269944867 3226.7275187487094 0.0 960.7574384285602 176043.03765002827 5.0186615166122825 -14377385.462932061
803.8002357810027 0.0 363.81818956691654 3226.7275187487094 0.0 981.0314203379826 176043.03764989338 5.015110837076222 -14361893.43353417
847.3404638832419 0.0 380.1678596201072 3226.7275187487094 0.0 999.7427210033013 176043.0376497523 5.01139631143907 -14345698.25948637
890.880691985482 0.0 396.94084911277054 3226.7275187487094 0.0 1017.0265045054132 176043.03764960502 5.0075134781529 -14328782.098793507
934.4209200877224 0.0 414.1637636939879 3226.7275187487094 0.0 1033.0039132740515 176043.03764945123 5.0034575761827185 -14311125.93914403
977.9611481899622 0.0 431.86285570788783 3226.7275187487094 0.0 1047.783899059996 176043.03764929084 4.999223546900247 -14292709.61827401
1021.5013762922023 0.0 450.0642172223919 3226.7275187487094 0.0 1061.4647535287538 176043.03764912364 4.994806033637763 -14273511.835009528
1065.0416043944424 0.0 468.79393977509994 3226.7275187487094 0.0 1074.1353980435301 176043.03764894948 4.990199379263833 -14253510.152662825
1108.5818324966826 0.0 488.0782488281147 3226.7275187487094 0.0 1085.876478501428 176043.03764876808 4.985397622048026 -14232680.996048415
1152.1220605989224 0.0 507.9436188315671 3226.7275187487094 0.0 1096.761300932212 176043.03764857925 4.980394490011844 -14210999.643085487
1195.6622887011629 0.0 528.4168733114924 3226.7275187487094 0.0 1106.8566359499182 176043.03764838277 4.975183393910371 -14188440.21173034
1239.2025168034024 0.0 549.525273329408 3226.7275187487094 0.0 1116.2234143648893 176043.03764817843 4.969757418948889 -14164975.642814662
1282.7427449056427 0.0 571.2965968817006 3226.7275187487094 0.0 1124.9173318279381 176043.03764796598 4.964109315307109 -14140577.67923768
1326.2829730078827 0.0 593.7592112315285 3226.7275187487094 0.0 1132.9893769419068 176043.0376477451 4.9582314875186535 -14115216.84186145
1369.8232011101222 0.0 616.9421397363002 3226.7275187487094 0.0 1140.4862945893176 176043.0376475156 4.952115982732897 -14088862.40238168
1413.363429212363 0.0 640.8751244096298 3226.7275187487094 0.0 1147.4509941063852 176043.03764727715 4.945754477869233 -14061482.353385719
1456.9036573146034 0.0 665.5886852097984 3226.7275187487094 0.0 1153.9229102499626 176043.03764702947 4.939138265659273 -14033043.37576106
1500.4438854168432 0.0 691.1141768570739 3226.7275187487094 0.0 1159.938323555688 176043.03764677228 4.932258239559619 -14003510.80357887
1543.9841135190836 0.0 717.4838438353424 3226.7275187487094 0.0 1165.5306455984503 176043.03764650522 4.9251048775062625 -13972848.586545296
1587.5243416213227 0.0 744.7308741189236 3226.7275187487094 0.0 1170.7306737836927 176043.03764622804 4.917668224470916 -13941019.250087589
1631.0645697235632 0.0 772.889452075452 3226.7275187487094 0.0 1175.5668195773787 176043.03764594038 4.909937873769207 -13907983.853120344
1674.6047978258036 0.0 801.9948109246359 3226.7275187487094 0.0 1180.065313490144 176043.0376456418 4.901902947060653 -13873701.943519276
1718.1450259280434 0.0 832.0832850762606 3226.7275187487094 0.0 1184.2503896420699 176043.03764533205 4.893552072970064 -13838131.511314668
1761.685254030283 0.0 863.1923626258072 3226.7275187487094 0.0 1188.1444523281123 176043.03764501066 4.884873364249767 -13801228.939603481
1805.2254821325234 0.0 895.3607382500111 3226.7275187487094 0.0 1191.7682266652025 176043.03764467727 4.875854393391047 -13762948.95316795
1848.765710234764 0.0 928.6283667157779 3226.7275187487094 0.0 1195.1408951176397 176043.0376443315 4.866482166581848 -13723244.564778429
1892.3059383370035 0.0 963.0365171926264 3226.7275187487094 0.0 1198.2802214578285 176043.0376439729 4.856743095895391 -13682067.019149644
1935.846166439244 0.0 998.6278285401108 3226.7275187487094 0.0 1201.202663516799 176043.03764360104 4.846622969581079 -13639365.73451151
1979.3863945414832 0.0 1035.4463657266585 3226.7275187487094 0.0 1203.9234759066856 176043.03764321542 4.836106920314523 -13595088.241748648
2022.9266226437232 0.0 1073.537677524199 3226.7275187487094 0.0 1206.4568037505874 176043.03764281562 4.82517939124753 -13549180.121056138
2066.4668507459637 0.0 1112.9488556133656 3226.7275187487094 0.0 1208.8157683294442 176043.03764240112 4.81382409968124 -13501584.936053012
2110.0070788482035 0.0 1153.7285952264522 3226.7275187487094 0.0 1211.0125454475603 176043.0376419714 4.802023998165966 -13452244.165289234
2153.5473069504433 0.0 1195.9272574493768 3226.7275187487094 0.0 1213.0584372252858 176043.037641526 4.7897612328094 -13401097.131076641
2197.087535052684 0.0 1239.5969332993704 3226.7275187487094 0.0 1214.9639379467374 176043.0376410643 4.777017098550291 -13348080.925568923
2240.6277631549237 0.0 1284.7915096917359 3226.7275187487094 0.0 1216.7387945205514 176043.0376405857 4.763771991127195 -13293130.33401102
2284.167991257164 0.0 1331.5667374066425 3226.7275187487094 0.0 1218.3920620507336 176043.03764008975 4.750005355440768 -13236177.75507309
2327.7082193594033 0.0 1379.9803011653833 3226.7275187487094 0.0 1219.932154961515 176043.0376395757 4.735695629972959 -13177153.118179694
2371.248447461643 0.0 1430.0918919247101 3226.7275187487094 0.0 1221.3668940735547 176043.037639043 4.720820186886613 -13115983.797739971
2414.788675563884 0.0 1481.9632814976653 3226.7275187487094 0.0 1222.7035499879155 176043.03763849093 4.7053552673836725 -13052594.524179786
2458.3289036661245 0.0 1535.6583996097193 3226.7275187487094 0.0 1223.9488830982395 176043.03763791893 4.6892759118484895 -12986907.291672314
2501.8691317683642 0.0 1591.2434134998387 3226.7275187487094 0.0 1225.1091805197707 176043.03763732614 4.67255588424367 -12918841.262458539
2545.4093598706045 0.0 1648.7868101774122 3226.7275187487094 0.0 1226.1902901956837 176043.03763671193 4.655167590158084 -12848312.667644508
2588.949587972844 0.0 1708.359481447629 3226.7275187487094 0.0 1227.1976524162387 176043.0376360755 4.637081987828739 -12775234.70435723
2632.4898160750845 0.0 1770.0348118199188 3226.7275187487094 0.0 1228.13632896409 176043.03763541608 4.618268491368324 -12699517.429136213
2676.0300441773243 0.0 1833.888769416405 3226.7275187487094 0.0 1229.011030079239 176043.0376347329 4.598694865326166 -12621067.647432579
2719.570272279564 0.0 1899.9999999999998 3226.7275187487094 0.0 1229.826139419483 176043.03763402504 4.578327109589653 -12539788.799082499
542.5588671675619 10000.0 273.0 3226.7275187487094 0.0 829.9104801964563 176043.0376506157 5.034091485305877 -14134924.060103728
586.099095269802 10000.0 287.42791277457917 3226.7275187487094 0.0 860.7022111706837 176043.03765050942 5.031304151896282 -14122724.269897968
629.639323372042 10000.0 302.09308213843445 3226.7275187487094 0.0 888.9475143342478 176043.03765039766 5.0283704770498225 -14109891.260773871
673.1795514742821 10000.0 317.0323174528418 3226.7275187487094 0.0 914.8969252663278 176043.03765028028 5.025287654274041 -14096413.887284007
716.7197795765226 10000.0 332.2791352330289 3226.7275187487094 0.0 938.7693798773892 176043.0376501572 5.022052507382155 -14082279.476715714
760.2600076787621 10000.0 347.8646426994486 3226.7275187487094 0.0 960.7574384285606 176043.03765002827 5.0186615166122825 -14067473.952217396
803.8002357810018 10000.0 363.8181895669164 3226.7275187487094 0.0 981.0314203379809 176043.03764989338 5.015110837076222 -14051981.922819505
847.3404638832419 10000.0 380.1678596201072 3226.7275187487094 0.0 999.7427210033013 176043.0376497523 5.01139631143907 -14035786.748771703
890.8806919854826 10000.0 396.94084911277065 3226.7275187487094 0.0 1017.0265045054135 176043.03764960502 5.0075134781529 -14018870.588078842
934.4209200877224 10000.0 414.1637636939879 3226.7275187487094 0.0 1033.0039132740515 176043.03764945123 5.0034575761827185 -14001214.428429365
977.9611481899624 10000.0 431.8628557078879 3226.7275187487094 0.0 1047.7838990599964 176043.03764929084 4.999223546900247 -13982798.107559346
1021.5013762922026 10000.0 450.064217222392 3226.7275187487094 0.0 1061.4647535287538 176043.03764912364 4.994806033637763 -13963600.32429486
1065.0416043944424 10000.0 468.79393977509994 3226.7275187487094 0.0 1074.1353980435301 176043.03764894948 4.990199379263833 -13943598.641948158
1108.5818324966826 10000.0 488.07824882811474 3226.7275187487094 0.0 1085.876478501427 176043.03764876808 4.985397622048026 -13922769.485333748
1152.1220605989229 10000.0 507.9436188315672 3226.7275187487094 0.0 1096.761300932212 176043.03764857925 4.980394490011844 -13901088.13237082
1195.6622887011624 10000.0 528.4168733114923 3226.7275187487094 0.0 1106.8566359499175 176043.03764838277 4.975183393910371 -13878528.701015674
1239.202516803403 10000.0 549.5252733294082 3226.7275187487094 0.0 1116.2234143648898 176043.03764817843 4.969757418948889 -13855064.132099995
1282.7427449056427 10000.0 571.2965968817006 3226.7275187487094 0.0 1124.9173318279381 176043.03764796598 4.964109315307109 -13830666.168523014
1326.2829730078827 10000.0 593.7592112315285 3226.7275187487094 0.0 1132.9893769419068 176043.0376477451 4.9582314875186535 -13805305.331146782
1369.8232011101234 10000.0 616.9421397363005 3226.7275187487094 0.0 1140.4862945893183 176043.0376475156 4.952115982732897 -13778950.891667014
1413.3634292123625 10000.0 640.8751244096297 3226.7275187487094 0.0 1147.4509941063852 176043.03764727715 4.945754477869233 -13751570.842671052
1456.903657314603 10000.0 665.5886852097983 3226.7275187487094 0.0 1153.9229102499623 176043.03764702947 4.939138265659273 -13723131.865046393
1500.4438854168432 10000.0 691.1141768570739 3226.7275187487094 0.0 1159.938323555688 176043.03764677228 4.932258239559619 -13693599.292864203
1543.984113519083 10000.0 717.4838438353422 3226.7275187487094 0.0 1165.5306455984507 176043.03764650522 4.9251048775062625 -13662937.07583063
1587.5243416213232 10000.0 744.7308741189238 3226.7275187487094 0.0 1170.7306737836927 176043.03764622804 4.917668224470916 -13631107.739372922
1631.0645697235632 10000.0 772.889452075452 3226.7275187487094 0.0 1175.5668195773787 176043.03764594038 4.909937873769207 -13598072.342405677
1674.6047978258032 10000.0 801.9948109246357 3226.7275187487094 0.0 1180.065313490144 176043.0376456418 4.901902947060653 -13563790.43280461
1718.1450259280434 10000.0 832.0832850762606 3226.7275187487094 0.0 1184.2503896420699 176043.03764533205 4.893552072970064 -13528220.0006
1761.6852540302837 10000.0 863.1923626258075 3226.7275187487094 0.0 1188.1444523281127 176043.03764501066 4.884873364249767 -13491317.428888815
1805.2254821325234 10000.0 895.3607382500111 3226.7275187487094 0.0 1191.7682266652025 176043.03764467727 4.875854393391047 -13453037.442453284
1848.765710234763 10000.0 928.6283667157776 3226.7275187487094 0.0 1195.1408951176388 176043.0376443315 4.866482166581848 -13413333.054063763
1892.3059383370035 10000.0 963.0365171926264 3226.7275187487094 0.0 1198.2802214578285 176043.0376439729 4.856743095895391 -13372155.508434977
1935.846166439243 10000.0 998.6278285401105 3226.7275187487094 0.0 1201.2026635167995 176043.03764360104 4.846622969581079 -13329454.223796843
1979.386394541484 10000.0 1035.446365726659 3226.7275187487094 0.0 1203.9234759066862 176043.03764321542 4.836106920314523 -13285176.731033979
2022.9266226437237 10000.0 1073.5376775241994 3226.7275187487094 0.0 1206.4568037505883 176043.03764281562 4.82517939124753 -13239268.61034147
