# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 97 97
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
2056.2318281790035 115000.0 1166.2254724092782 3423.0149702224066 2.2801537814033184e-05 1236.5745105854069 4.110265401230731e-05 163514404253.1298 -10029064.231420368
2061.9636768799246 115000.0 1171.6427179503953 3422.591968567489 2.2824471361809295e-05 1237.0518520897335 4.110773393151135e-05 163432463616.81213 -10022364.111024613
2067.695525580847 115000.0 1177.0830266491976 3422.1667910978954 2.284746835408954e-05 1237.5274018801363 4.111284124607567e-05 163350121560.29813 -10015632.873838713
2073.4273742817695 115000.0 1182.5464956072392 3421.7394262211765 2.2870530039294654e-05 1238.0011952947925 4.1117976115258303e-05 163267376510.74936 -10008870.38739026
2079.1592229826906 115000.0 1188.0332222069846 3421.3098622705115 2.2893657731000767e-05 1238.473267484523 4.1123138699465656e-05 163184226166.19858 -10002076.51864946
2084.891071683612 115000.0 1193.5433041135548 3420.8780875026723 2.291685274005569e-05 1238.9436535961963 4.112832916028028e-05 163100668792.2341 -9995251.13402754
2090.622920384534 115000.0 1199.076839271118 3420.4440901011812 2.2940116376646588e-05 1239.4123886209572 4.113354766042618e-05 163016702089.45184 -9988394.099375108
2096.3547690854557 115000.0 1204.6339259059168 3420.0078581711073 2.296344996357576e-05 1239.8795070715807 4.113879436383472e-05 162932324432.77933 -9981505.279980576
2102.0866177863777 115000.0 1210.21466252557 3419.5693797433846 2.298685477413756e-05 1240.3450436312837 4.1144069435596065e-05 162847533660.40787 -9974584.540568527
2107.8184664872992 115000.0 1215.8191479162779 3419.128642771348 2.301033216732351e-05 1240.809032770265 4.114937304200428e-05 162762327774.0303 -9967631.74529811
2113.5503151882212 115000.0 1221.4474811455002 3418.685635129578 2.3033883480549838e-05 1241.2715085805635 4.1154705350574666e-05 162676704830.9588 -9960646.757761447
2119.2821638891432 115000.0 1227.0997615606757 3418.240344615634 2.3057509995042887e-05 1241.7325052497513 4.1160066530026435e-05 162590662623.68945 -9953629.440982014
2125.0140125900657 115000.0 1232.776088787592 3417.792758948334 2.3081213076794803e-05 1242.1920568237438 4.116545675030697e-05 162504199162.02237 -9946579.657413041
2130.745861290987 115000.0 1238.4765627312008 3417.34286576517 2.3104994083632208e-05 1242.6501969649153 4.117087618262655e-05 162417312592.34912 -9939497.268935926
2136.477709991909 115000.0 1244.2012835761998 3416.8906526254937 2.3128854344652396e-05 1243.1069593967954 4.1176324999423614e-05 162330000610.87393 -9932382.136858614
2142.209558692831 115000.0 1249.950351783773 3416.436107007367 2.3152795222700347e-05 1243.5623776686539 4.118180337440644e-05 162242261265.0164 -9925234.121914024
2147.9414073937523 115000.0 1255.7238680942683 3415.9792163070083 2.3176818061519363e-05 1244.0164851693482 4.118731148256352e-05 162154092553.1791 -9918053.084258437
2153.673256094675 115000.0 1261.5219335238216 3415.5199678391095 2.3200924237062654e-05 1244.4693153466922 4.119284950016358e-05 162065492000.1476 -9910838.883469919
2159.405104795596 115000.0 1267.344649364939 3415.058348836289 2.3225115118315073e-05 1244.9209011683317 4.1198417604765974e-05 161976457853.8123 -9903591.378546732
2165.136953496518 115000.0 1273.1921171881258 3414.594346446253 2.324939208447392e-05 1245.371275560388 4.1204015975258856e-05 161886987995.53067 -9896310.427905751
2170.868802197439 115000.0 1279.0644388383953 3414.127947734136 2.3273756529849368e-05 1245.820471696481 4.120964479183489e-05 161797080074.3441 -9888995.889380874
2176.6006508983623 115000.0 1284.9617164341034 3413.6591396799554 2.329820982355312e-05 1246.2685223485644 4.121530423602596e-05 161706731958.28192 -9881647.620221449
2182.332499599283 115000.0 1290.8840523695108 3413.187909179236 2.3322753368759122e-05 1246.7154601002692 4.122099449069966e-05 161615941680.83463 -9874265.47709072
2188.0643483002054 115000.0 1296.8315493116388 3412.714243040478 2.33473885923449e-05 1247.1613175866396 4.122671574009404e-05 161524706859.81525 -9866849.31606422
2193.7961970011265 115000.0 1302.804310200503 3412.2381279860733 2.337211689824238e-05 1247.6061272337558 4.123246816981063e-05 161433025464.46667 -9859398.992628247
2199.528045702049 115000.0 1308.8024382484145 3411.7595506503612 2.339693969988075e-05 1248.0499215356213 4.123825196684222e-05 161340895208.34384 -9851914.361678263
2205.259894402971 115000.0 1314.8260369375348 3411.2784975802674 2.3421858428331976e-05 1248.49273278081 4.1244067319569366e-05 161248313945.4879 -9844395.277517373
2210.9917431038925 115000.0 1320.875210021739 3410.794955234801 2.3446874505592756e-05 1248.9345931139067 4.1249914417770817e-05 161155279407.47064 -9836841.593854746
2216.7235918048145 115000.0 1326.9500615235884 3410.308909981976 2.3471989409386465e-05 1249.375534649829 4.125579345266514e-05 161061789362.0206 -9829253.163804086
2222.4554405057356 115000.0 1333.0506957350299 3409.820348100038 2.3497204557926318e-05 1249.8155893637118 4.126170461690032e-05 160967841639.1578 -9821629.839882081
2228.1872892066585 115000.0 1339.177217215416 3409.329255777266 2.3522521421077122e-05 1250.2547892767966 4.1267648104560684e-05 160873433765.33875 -9813971.474006863
2233.9191379075796 115000.0 1345.3297307903413 3408.8356191091952 2.354794147194993e-05 1250.6931663080268 4.127362411120508e-05 160778563722.6978 -9806277.917496482
2239.650986608502 115000.0 1351.5083415510599 3408.339424099286 2.3573466189905418e-05 1251.1307522240838 4.1279632833863406e-05 160683228956.28394 -9798549.021067379
2245.382835309423 115000.0 1357.7131548537873 3407.8406566581675 2.359909703389252e-05 1251.5675786487052 4.128567447105047e-05 160587427418.6083 -9790784.634832874
2251.114684010346 115000.0 1363.9442763190018 3407.3393026023105 2.362483552931519e-05 1252.0036772587664 4.129174922278683e-05 160491156813.57553 -9782984.608301632
2256.8465327112663 115000.0 1370.201811828767 3406.835347653567 2.36506831912391e-05 1252.4390797296303 4.12978572906092e-05 160394414520.5 -9775148.790376175
2262.5783814121887 115000.0 1376.4858675264986 3406.3287774372857 2.367664149659784e-05 1252.8738176381423 4.130399887759817e-05 160297198374.08844 -9767277.02935137
2268.310230113111 115000.0 1382.796549815219 3405.8195774852934 2.3702711990389637e-05 1253.3079223541386 4.131017418834704e-05 160199506040.7815 -9759369.172912937
2274.042078814033 115000.0 1389.133965358371 3405.307733228874 2.3728896254531183e-05 1253.7414248570637 4.131638342905197e-05 160101335175.36884 -9751425.068135973
2279.7739275149543 115000.0 1395.4982210799353 3404.7932300020484 2.3755196381143852e-05 1254.174355968251 4.1322626807477336e-05 160002683653.92218 -9743444.561483445
2285.5057762158763 115000.0 1401.8894241629168 3404.2760530157084 2.3781615240023852e-05 1254.6067491757742 4.132890453327487e-05 159903551814.45145 -9735427.498804701
