# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
# POINTS: 51 51
2.024918355576e+03 1.261455911245e+05 1.184191767478e+03 3.635553748421e+03 8.581541675879e-04 2.026420110927e+03 9.929855179907e+03 5.628204286899e+03 -1.370620507329e+06
2.027221381968e+03 1.261455911245e+05 1.185237304112e+03 3.629830683588e+03 2.612573140016e-03 3.608560649447e+03 9.899706034431e+03 5.606489707131e+03 -1.370236576159e+06
2.029524408360e+03 1.261455911245e+05 1.185704632610e+03 3.621218421738e+03 8.580197104725e-03 9.061796810459e+03 9.848995983384e+03 5.570054616113e+03 -1.369852415958e+06
2.031827434752e+03 1.261455911245e+05 1.185839990118e+03 3.611112614294e+03 3.587430212685e-02 3.433954744303e+04 9.799099992001e+03 5.534263984770e+03 -1.369468181936e+06
2.034130461144e+03 1.261455911245e+05 1.185863692411e+03 3.600615239662e+03 2.236096457107e-01 2.093538409020e+05 9.749972583812e+03 5.499077245369e+03 -1.369083934017e+06
2.036433487535e+03 1.261455911245e+05 1.185866080639e+03 3.590106538069e+03 2.313517083520e+00 2.164227889371e+06 9.701571345055e+03 5.464456751993e+03 -1.368699684635e+06
2.038736513927e+03 1.261455911245e+05 1.185866216250e+03 3.579652668634e+03 4.163046956584e+01 3.904540827129e+07 9.653856660102e+03 5.430367513579e+03 -1.368315435168e+06
2.041039540319e+03 1.261455911245e+05 1.185866220532e+03 3.569259206002e+03 1.301301361863e+03 1.224032570588e+09 9.606791474252e+03 5.396776955570e+03 -1.367931185698e+06
2.043342566711e+03 1.261455911245e+05 1.185866220712e+03 3.558925915844e+03 2.350524124146e+04 2.217373057484e+10 9.560341080599e+03 5.363654706654e+03 -1.367546936228e+06
2.045645593103e+03 1.261455911245e+05 1.185866220778e+03 3.548652283250e+03 3.444001946709e+05 3.258313829562e+11 9.514472928112e+03 5.330972407541e+03 -1.367162686758e+06
2.047948619495e+03 1.261455911245e+05 1.185866220729e+03 3.538437793853e+03 5.108544844166e+04 4.847062579322e+10 9.469156448478e+03 5.298703539161e+03 -1.366778437288e+06
2.050251645886e+03 1.261455911245e+05 1.185866220665e+03 3.528281939605e+03 4.136649468174e+04 3.936211779274e+10 9.424362899558e+03 5.266823267982e+03 -1.366394187818e+06
2.052554672278e+03 1.261455911245e+05 1.185866220590e+03 3.518184216976e+03 1.059648419224e+05 1.011198085100e+11 9.380065223594e+03 5.235308306504e+03 -1.366009938348e+06
2.054857698670e+03 1.261455911245e+05 1.185866220611e+03 3.508144126867e+03 7.329770779957e+02 7.014654103413e+08 9.336237918552e+03 5.204136787184e+03 -1.365625688878e+06
2.057160725062e+03 1.261455911245e+05 1.185866228377e+03 3.498161191146e+03 2.370705700771e+01 2.275318611729e+07 9.292856921167e+03 5.173288148307e+03 -1.365241439408e+06
2.059463751455e+03 1.261455911245e+05 1.185866460673e+03 3.488235402584e+03 1.442645133837e+00 1.389234804373e+06 9.249899500454e+03 5.142743030484e+03 -1.364857189933e+06
2.061766777846e+03 1.261455911245e+05 1.185870160155e+03 3.478375145437e+03 1.524022582722e-01 1.479681412380e+05 9.207344160588e+03 5.112483182634e+03 -1.364472940313e+06
2.064069804238e+03 1.261455911245e+05 1.185903375244e+03 3.468665842381e+03 2.624831623767e-02 2.640871000325e+04 9.165170552187e+03 5.082491376433e+03 -1.364088688441e+06
2.066372830630e+03 1.261455911245e+05 1.186076998488e+03 3.459540180659e+03 6.570331997123e-03 7.494756633833e+03 9.123359391141e+03 5.052751328345e+03 -1.363704417295e+06
2.068675857022e+03 1.261455911245e+05 1.186632302617e+03 3.452089158238e+03 2.034966203812e-03 3.175624991614e+03 9.081892384247e+03 5.023247628452e+03 -1.363320052906e+06
2.070978883414e+03 1.261455911245e+05 1.187798137173e+03 3.447439602855e+03 6.628180185818e-04 1.876545776159e+03 9.064489853834e+03 5.010812634101e+03 -1.362935421897e+06
2.073281909806e+03 1.261455911245e+05 1.189547798197e+03 3.445422096671e+03 2.010039977176e-04 1.429355500119e+03 9.063520839213e+03 5.010038311005e+03 -1.362550301991e+06
2.075584936197e+03 1.261455911245e+05 1.191631417240e+03 3.444783826798e+03 5.946595319721e-05 1.282120579605e+03 9.062549848989e+03 5.009262423525e+03 -1.362164537116e+06
2.077887962589e+03 1.261455911245e+05 1.193828766223e+03 3.444545050012e+03 2.720079633046e-05 1.244292223153e+03 9.061576879018e+03 5.008484968444e+03 -1.361778066923e+06
2.080190988981e+03 1.261455911245e+05 1.196050667163e+03 3.444369760333e+03 2.253614094577e-05 1.238056637838e+03 9.060601925142e+03 5.007705942534e+03 -1.361390878060e+06
2.082494015373e+03 1.261455911245e+05 1.198278540439e+03 3.444199645548e+03 2.215643449397e-05 1.237606049470e+03 9.059624983198e+03 5.006925342564e+03 -1.361002967967e+06
2.084797041765e+03 1.261455911245e+05 1.200510353029e+03 3.444029436437e+03 2.214751841886e-05 1.237756057630e+03 9.058646049007e+03 5.006143165291e+03 -1.360614335333e+06
2.087100068157e+03 1.261455911245e+05 1.202745991047e+03 3.443858883170e+03 2.215587306370e-05 1.237940181600e+03 9.057665118383e+03 5.005359407465e+03 -1.360224978918e+06
2.089403094548e+03 1.261455911245e+05 1.204985457402e+03 3.443687978404e+03 2.216472635799e-05 1.238125059719e+03 9.056682187129e+03 5.004574065830e+03 -1.359834897482e+06
2.091706120940e+03 1.261455911245e+05 1.207228758420e+03 3.443516720735e+03 2.217358206798e-05 1.238309776347e+03 9.055697251035e+03 5.003787137119e+03 -1.359444089784e+06
2.094009147332e+03 1.261455911245e+05 1.209475900335e+03 3.443345110215e+03 2.218233813438e-05 1.238494306119e+03 9.054710305884e+03 5.002998618060e+03 -1.359052554580e+06
2.096312173724e+03 1.261455911245e+05 1.211726889586e+03 3.443173147008e+03 2.219106626355e-05 1.238678614245e+03 9.053721347445e+03 5.002208505371e+03 -1.358660290624e+06
2.098615200116e+03 1.261455911245e+05 1.213981732557e+03 3.443000830050e+03 2.219983708361e-05 1.238862566016e+03 9.052730371478e+03 5.001416795762e+03 -1.358267296670e+06
2.100918226508e+03 1.261455911245e+05 1.216240436199e+03 3.442828158362e+03 2.220865483292e-05 1.239046127938e+03 9.051737373732e+03 5.000623485937e+03 -1.357873571466e+06
2.103221252900e+03 1.261455911245e+05 1.218503007045e+03 3.442655130809e+03 2.221754181736e-05 1.239229468827e+03 9.050742349945e+03 4.999828572590e+03 -1.357479113762e+06
2.105524279292e+03 1.261455911245e+05 1.220769451453e+03 3.442481746095e+03 2.222638989044e-05 1.239412506930e+03 9.049745295845e+03 4.999032052406e+03 -1.357083922303e+06
2.107827305684e+03 1.261455911245e+05 1.223039776279e+03 3.442308004751e+03 2.223519054669e-05 1.239595273152e+03 9.048746207149e+03 4.998233922066e+03 -1.356687995832e+06
2.110130332076e+03 1.261455911245e+05 1.225313987794e+03 3.442133905620e+03 2.224412650247e-05 1.239777933378e+03 9.047745079561e+03 4.997434178237e+03 -1.356291333092e+06
2.112433358468e+03 1.261455911245e+05 1.227592092264e+03 3.441959446419e+03 2.225314034059e-05 1.239960429600e+03 9.046741908777e+03 4.996632817584e+03 -1.355893932823e+06
2.114736384859e+03 1.261455911245e+05 1.229874096196e+03 3.441784626860e+03 2.226201499214e-05 1.240142621668e+03 9.045736690480e+03 4.995829836759e+03 -1.355495793760e+06
2.117039411251e+03 1.261455911245e+05 1.232160006394e+03 3.441609448027e+03 2.227082754272e-05 1.240324472915e+03 9.044729420344e+03 4.995025232407e+03 -1.355096914641e+06
2.119342437643e+03 1.261455911245e+05 1.234449829523e+03 3.441433908419e+03 2.227981506526e-05 1.240506053698e+03 9.043720094030e+03 4.994219001168e+03 -1.354697294197e+06
2.121645464035e+03 1.261455911245e+05 1.236743572155e+03 3.441258005403e+03 2.228883177790e-05 1.240687378663e+03 9.042708707189e+03 4.993411139668e+03 -1.354296931161e+06
2.123948490427e+03 1.261455911245e+05 1.239041240923e+03 3.441081739762e+03 2.229770969354e-05 1.240868513690e+03 9.041695255461e+03 4.992601644530e+03 -1.353895824261e+06
2.126251516819e+03 1.261455911245e+05 1.241342842177e+03 3.440905111540e+03 2.230662406690e-05 1.241049476799e+03 9.040679734475e+03 4.991790512366e+03 -1.353493972224e+06
2.128554543210e+03 1.261455911245e+05 1.243648382508e+03 3.440728118755e+03 2.231562115697e-05 1.241230134717e+03 9.039662139847e+03 4.990977739780e+03 -1.353091373775e+06
2.130857569602e+03 1.261455911245e+05 1.245957868782e+03 3.440550760673e+03 2.232459813366e-05 1.241410498835e+03 9.038642467185e+03 4.990163323367e+03 -1.352688027636e+06
2.133160595994e+03 1.261455911245e+05 1.248271307572e+03 3.440373036944e+03 2.233353054615e-05 1.241590678312e+03 9.037620712083e+03 4.989347259716e+03 -1.352283932527e+06
2.135463622386e+03 1.261455911245e+05 1.250588705362e+03 3.440194947252e+03 2.234250558926e-05 1.241770716532e+03 9.036596870126e+03 4.988529545405e+03 -1.351879087167e+06
2.137766648778e+03 1.261455911245e+05 1.252910068585e+03 3.440016489865e+03 2.235157590602e-05 1.241950442053e+03 9.035570936885e+03 4.987710177005e+03 -1.351473490272e+06
2.140069675170e+03 1.261455911245e+05 1.255235404389e+03 3.439837663580e+03 2.236063748758e-05 1.242129792562e+03 9.034542907922e+03 4.986889151078e+03 -1.351067140555e+06
2.024918355576e+03 1.261855911245e+05 1.184620205853e+03 3.637477925500e+03 4.146509901390e-04 1.623612738514e+03 9.930067420284e+03 5.628270094840e+03 -1.370465761545e+06
2.027221381968e+03 1.261855911245e+05 1.186064610007e+03 3.633779135910e+03 1.292686760690e-03 2.418577489522e+03 9.929043910306e+03 5.627482708692e+03 -1.370081631704e+06
2.029524408360e+03 1.261855911245e+05 1.186879003110e+03 3.626876965029e+03 3.975403019049e-03 4.851551020197e+03 9.880499787035e+03 5.592561125968e+03 -1.369697134039e+06
2.031827434752e+03 1.261855911245e+05 1.187191430546e+03 3.617543273723e+03 1.400940300254e-02 1.408695553475e+04 9.830089818089e+03 5.556362593181e+03 -1.369312476432e+06
2.034130461144e+03 1.261855911245e+05 1.187267182542e+03 3.607209760505e+03 6.664259988951e-02 6.303494652703e+04 9.780476959726e+03 5.520793408584e+03 -1.368927776299e+06
2.036433487535e+03 1.261855911245e+05 1.187278185840e+03 3.596689092072e+03 4.902123183987e-01 4.588895569645e+05 9.731616879324e+03 5.485814094272e+03 -1.368543069601e+06
2.038736513927e+03 1.261855911245e+05 1.187279099714e+03 3.586198107432e+03 6.105120035000e+00 5.722522007473e+06 9.683468207720e+03 5.451387994101e+03 -1.368158362337e+06
2.041039540319e+03 1.261855911245e+05 1.187279141480e+03 3.575765984957e+03 1.355960296961e+02 1.274555328787e+08 9.635992284953e+03 5.417481017498e+03 -1.367773655047e+06
2.043342566711e+03 1.261855911245e+05 1.187279142621e+03 3.565394302007e+03 4.512047261768e+03 4.253488007246e+09 9.589152932120e+03 5.384061410555e+03 -1.367388947756e+06
2.045645593103e+03 1.261855911245e+05 1.187279142766e+03 3.555082610430e+03 8.014034741472e+04 7.576709439966e+10 9.542916246230e+03 5.351099551052e+03 -1.367004240465e+06
2.047948619495e+03 1.261855911245e+05 1.187279142693e+03 3.544830393316e+03 2.646562497856e+04 2.509376453776e+10 9.497250415339e+03 5.318567764533e+03 -1.366619533174e+06
2.050251645886e+03 1.261855911245e+05 1.187279142548e+03 3.534637137673e+03 3.421133402806e+04 3.253151610841e+10 9.452125551640e+03 5.286440158933e+03 -1.366234825883e+06
2.052554672278e+03 1.261855911245e+05 1.187279142525e+03 3.524502335759e+03 1.161782255927e+05 1.107913971172e+11 9.407513540459e+03 5.254692475591e+03 -1.365850118592e+06
2.054857698670e+03 1.261855911245e+05 1.187279142499e+03 3.514425485205e+03 1.285829903048e+04 1.229725790877e+10 9.363387903395e+03 5.223301954784e+03 -1.365465411301e+06
2.057160725062e+03 1.261855911245e+05 1.187279142969e+03 3.504406092523e+03 1.877866962906e+02 1.801070513120e+08 9.319723674054e+03 5.192247214128e+03 -1.365080704010e+06
2.059463751455e+03 1.261855911245e+05 1.187279172862e+03 3.494443721545e+03 7.785678880797e+00 7.489175250138e+06 9.276497285023e+03 5.161508138431e+03 -1.364695996719e+06
2.061766777846e+03 1.261855911245e+05 1.187279873179e+03 3.484539380011e+03 5.830992725193e-01 5.632042661894e+05 9.233686464889e+03 5.131065779745e+03 -1.364311289408e+06
2.064069804238e+03 1.261855911245e+05 1.187288882792e+03 3.474714480560e+03 7.499064745232e-02 7.345173595072e+04 9.191270144272e+03 5.100902266515e+03 -1.363926581663e+06
2.066372830630e+03 1.261855911245e+05 1.187354326359e+03 3.465137799355e+03 1.512921960255e-02 1.572611825301e+04 9.149228369932e+03 5.071000720864e+03 -1.363541868514e+06
2.068675857022e+03 1.261855911245e+05 1.187636649266e+03 3.456478182851e+03 4.180302596977e-03 5.219783362906e+03 9.107542226150e+03 5.041345183171e+03 -1.363157118359e+06
2.070978883414e+03 1.261855911245e+05 1.188402323318e+03 3.449985737573e+03 1.342426992267e-03 2.522480164268e+03 9.066193762652e+03 5.011920543176e+03 -1.362772222251e+06
2.073281909806e+03 1.261855911245e+05 1.189806673795e+03 3.446419526259e+03 4.303179500739e-04 1.653918890516e+03 9.063761951288e+03 5.010108108577e+03 -1.362386975901e+06
2.075584936197e+03 1.261855911245e+05 1.191715854818e+03 3.445068427712e+03 1.264197116837e-04 1.353360441794e+03 9.062791008119e+03 5.009332231849e+03 -1.362001169706e+06
2.077887962589e+03 1.261855911245e+05 1.193862582303e+03 3.444652599030e+03 4.092448885697e-05 1.261115723864e+03 9.061818085318e+03 5.008554787547e+03 -1.361614686114e+06
2.080190988981e+03 1.261855911245e+05 1.196076274696e+03 3.444453697796e+03 2.423262305994e-05 1.240560895574e+03 9.060843178732e+03 5.007775772446e+03 -1.361227488735e+06
2.082494015373e+03 1.261855911245e+05 1.198303469061e+03 3.444281923515e+03 2.227042041087e-05 1.237814943468e+03 9.059866284193e+03 5.006995183312e+03 -1.360839570563e+06
2.084797041765e+03 1.261855911245e+05 1.200535300707e+03 3.444111665349e+03 2.214909784528e-05 1.237761808999e+03 9.058887397526e+03 5.006213016904e+03 -1.360450929854e+06
2.087100068157e+03 1.261855911245e+05 1.202770991749e+03 3.443941123195e+03 2.215333242118e-05 1.237936296280e+03 9.057906514545e+03 5.005429269972e+03 -1.360061565347e+06
2.089403094548e+03 1.261855911245e+05 1.205010512146e+03 3.443770230146e+03 2.216207547232e-05 1.238120934806e+03 9.056923631051e+03 5.004643939259e+03 -1.359671475801e+06
2.091706120940e+03 1.261855911245e+05 1.207253867265e+03 3.443598985259e+03 2.217078785385e-05 1.238305678260e+03 9.055938742837e+03 5.003857021500e+03 -1.359280659976e+06
2.094009147332e+03 1.261855911245e+05 1.209501063335e+03 3.443427388708e+03 2.217952571646e-05 1.238490207458e+03 9.054951845684e+03 5.003068513421e+03 -1.358889116627e+06
2.096312173724e+03 1.261855911245e+05 1.211752106900e+03 3.443255438600e+03 2.218839070873e-05 1.238674492770e+03 9.053962935364e+03 5.002278411741e+03 -1.358496844509e+06
2.098615200116e+03 1.261855911245e+05 1.214007004321e+03 3.443083133514e+03 2.219725154863e-05 1.238858425328e+03 9.052972007635e+03 5.001486713171e+03 -1.358103842375e+06
2.100918226508e+03 1.261855911245e+05 1.216265762560e+03 3.442910473554e+03 2.220605014022e-05 1.239041942410e+03 9.051979058249e+03 5.000693414413e+03 -1.357710108974e+06
2.103221252900e+03 1.261855911245e+05 1.218528388231e+03 3.442737458185e+03 2.221492049359e-05 1.239225255970e+03 9.050984082942e+03 4.999898512162e+03 -1.357315643054e+06
2.105524279292e+03 1.261855911245e+05 1.220794887549e+03 3.442564085482e+03 2.222381796486e-05 1.239408331984e+03 9.049987077443e+03 4.999102003105e+03 -1.356920443362e+06
2.107827305684e+03 1.261855911245e+05 1.223065267276e+03 3.442390355592e+03 2.223261402703e-05 1.239591101508e+03 9.048988037468e+03 4.998303883920e+03 -1.356524508641e+06
2.110130332076e+03 1.261855911245e+05 1.225339533902e+03 3.442216268572e+03 2.224142140805e-05 1.239773700559e+03 9.047986958724e+03 4.997504151277e+03 -1.356127837632e+06
2.112433358468e+03 1.261855911245e+05 1.227617693714e+03 3.442041822852e+03 2.225031959434e-05 1.239956187182e+03 9.046983836907e+03 4.996702801838e+03 -1.355730429076e+06
2.114736384859e+03 1.261855911245e+05 1.229899753009e+03 3.441867017249e+03 2.225922615543e-05 1.240138419008e+03 9.045978667699e+03 4.995899832258e+03 -1.355332281709e+06
2.117039411251e+03 1.261855911245e+05 1.232185718617e+03 3.441691851445e+03 2.226811356227e-05 1.240320236921e+03 9.044971446774e+03 4.995095239181e+03 -1.354933394267e+06
2.119342437643e+03 1.261855911245e+05 1.234475597448e+03 3.441516324636e+03 2.227707180364e-05 1.240501756098e+03 9.043962169795e+03 4.994289019246e+03 -1.354533765484e+06
2.121645464035e+03 1.261855911245e+05 1.236769395935e+03 3.441340435123e+03 2.228602909785e-05 1.240683103040e+03 9.042950832413e+03 4.993481169081e+03 -1.354133394089e+06
2.123948490427e+03 1.261855911245e+05 1.239067120541e+03 3.441164183259e+03 2.229492159176e-05 1.240864246390e+03 9.041937430267e+03 4.992671685307e+03 -1.353732278812e+06
2.126251516819e+03 1.261855911245e+05 1.241368777838e+03 3.440987568349e+03 2.230390871305e-05 1.241045148006e+03 9.040921958988e+03 4.991860564538e+03 -1.353330418381e+06
2.128554543210e+03 1.261855911245e+05 1.243674374454e+03 3.440810588203e+03 2.231299037174e-05 1.241225782566e+03 9.039904414192e+03 4.991047803377e+03 -1.352927811518e+06
2.130857569602e+03 1.261855911245e+05 1.245983917078e+03 3.440633242118e+03 2.232201532357e-05 1.241406190800e+03 9.038884791486e+03 4.990233398420e+03 -1.352524456948e+06
2.133160595994e+03 1.261855911245e+05 1.248297412210e+03 3.440455530306e+03 2.233091951726e-05 1.241586383973e+03 9.037863086466e+03 4.989417346255e+03 -1.352120353390e+06
2.135463622386e+03 1.261855911245e+05 1.250614866519e+03 3.440277453094e+03 2.233985360288e-05 1.241766368208e+03 9.036839294717e+03 4.988599643461e+03 -1.351715499562e+06
2.137766648778e+03 1.261855911245e+05 1.252936286506e+03 3.440099008294e+03 2.234889019425e-05 1.241946075008e+03 9.035813411810e+03 4.987780286609e+03 -1.351309894181e+06
2.140069675170e+03 1.261855911245e+05 1.255261679120e+03 3.439920195051e+03 2.235791031673e-05 1.242125454248e+03 9.034785433308e+03 4.986959272260e+03 -1.350903535960e+06
2.024918355576e+03 1.262255911245e+05 1.184857146360e+03 3.638463437209e+03 1.925549253393e-04 1.416775506485e+03 9.930279645004e+03 5.628335896271e+03 -1.370311073149e+06
2.027221381968e+03 1.262255911245e+05 1.186632943129e+03 3.636411406665e+03 6.354088357051e-04 1.826361385036e+03 9.929256183964e+03 5.627548525738e+03 -1.369926827009e+06
2.029524408360e+03 1.262255911245e+05 1.187849814742e+03 3.631553893922e+03 1.943755982495e-03 3.009511051133e+03 9.912313732703e+03 5.615318861241e+03 -1.369542077336e+06
2.031827434752e+03 1.262255911245e+05 1.188450945739e+03 3.623589407492e+03 6.167579027664e-03 6.862529959610e+03 9.861371111078e+03 5.578695616391e+03 -1.369157042603e+06
2.034130461144e+03 1.262255911245e+05 1.188647489626e+03 3.613736236545e+03 2.379605775953e-02 2.317779162027e+04 9.811255414323e+03 5.542728414129e+03 -1.368771903368e+06
2.036433487535e+03 1.262255911245e+05 1.188687162078e+03 3.603280081988e+03 1.312389952558e-01 1.234353523177e+05 9.761920277627e+03 5.507375829501e+03 -1.368386741266e+06
