# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 131 131
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
1419.5974208162997 11333.333333333332 823.7365479383152 2955.896747686061 3.567048768722185e-05 1010.9096712848377 3.936590142774449e-05 62437575191.13263 -10995675.77807211
1422.4140213165012 11333.333333333332 826.0343426319305 2955.654151214976 3.576860758613643e-05 1011.35082194892 3.9369132532697526e-05 62350549372.26587 -10993352.409115478
1425.230621816703 11333.333333333332 828.3375403776299 2955.4103326561017 3.586783851488166e-05 1011.792278149815 3.937238044891822e-05 62262829925.03155 -10991022.560586829
1428.0472223169047 11333.333333333332 830.6461507687345 2955.165280480354 3.596820539822832e-05 1012.2340830668888 3.937564533821464e-05 62174404088.84832 -10988686.217254352
1430.8638228171062 11333.333333333332 832.9601833075285 2954.9189829421307 3.6069734073842256e-05 1012.6762816637682 3.937892736542714e-05 62085258551.244804 -10986343.363859337
1433.6804233173082 11333.333333333332 835.2796473982744 2954.6714280650244 3.617245086689894e-05 1013.1189207131483 3.938222669862268e-05 61995379462.490486 -10983993.985116446
1436.4970238175088 11333.333333333332 837.6045523437206 2954.422603645768 3.627638266829042e-05 1013.5620468990838 3.938554350904622e-05 61904752653.00029 -10981638.065713996
1439.313624317711 11333.333333333332 839.934907346731 2954.1724972394463 3.638155751534807e-05 1014.0057074769614 3.9388877971321956e-05 61813363897.77124 -10979275.590314241
1442.130224817913 11333.333333333332 842.2707215037663 2953.921096155654 3.648800470199813e-05 1014.4499526837141 3.9392230263508854e-05 61721198270.47553 -10976906.543553656
1444.946825318114 11333.333333333332 844.6120037953369 2953.6683874437367 3.659575427794884e-05 1014.89483363101 3.939560056730185e-05 61628240036.77962 -10974530.910043256
1447.7634258183155 11333.333333333332 846.958763089031 2953.4143578957373 3.6704836864115874e-05 1015.340401595737 3.939898906799716e-05 61534473800.27596 -10972148.674368925
1450.5800263185174 11333.333333333332 849.311008133227 2953.158994029063 3.681528473553805e-05 1015.7867103203947 3.940239595472822e-05 61439882786.139435 -10969759.821091723
1453.3966268187191 11333.333333333332 851.6687475494109 2952.9022820785317 3.692713120770746e-05 1016.2338149779417 3.940582142057669e-05 61344450313.23199 -10967364.334748255
1456.2132273189206 11333.333333333332 854.0319898305461 2952.644207992596 3.7040410240106274e-05 1016.6817718056961 3.940926566262798e-05 61248158984.86832 -10964962.199851016
1459.0298278191226 11333.333333333332 856.4007433350198 2952.3847574186566 3.715515753658119e-05 1017.1306390367275 3.9412728882172454e-05 61150990686.024086 -10962553.400888765
1461.8464283193243 11333.333333333332 858.7750162805896 2952.123915690998 3.7271409893178816e-05 1017.580476774101 3.9416211284871994e-05 61052927122.40802 -10960137.922326915
1464.6630288195258 11333.333333333332 861.1548167387955 2951.8616678286144 3.7389205088031793e-05 1018.031346319729 3.941971308079467e-05 60953948780.24609 -10957715.748607932
1467.4796293197273 11333.333333333332 863.5401526319329 2951.5979985174613 3.7508582994073096e-05 1018.4833107555178 3.942323448465762e-05 60854036278.33548 -10955286.864151761
1470.296229819929 11333.333333333332 865.9310317246709 2951.3328920942886 3.762958441551199e-05 1018.9364358584609 3.942677571604908e-05 60753169087.687454 -10952851.253356237
1473.112830320131 11333.333333333332 868.3274616166018 2951.0663325497135 3.77522513377742e-05 1019.3907891763465 3.943033699939369e-05 60651325928.00852 -10950408.900597569
1475.929430820332 11333.333333333332 870.7294497380499 2950.7983035032585 3.787662848771275e-05 1019.8464401549077 3.9433918564292514e-05 60548485182.142914 -10947959.79023078
1478.7460313205333 11333.333333333332 873.1370033419225 2950.528788185177 3.800276113412664e-05 1020.3034605546012 3.943752064577283e-05 60444624169.65518 -10945503.906590223
1481.5626318207355 11333.333333333332 875.5501294974238 2950.257769443215 3.813069656744533e-05 1020.7619243236817 3.9441143484204855e-05 60339719468.98367 -10943041.233990066
