# This is an exemplary isentrope for an opx mantle composition, exported
# from HeFESTo, for a surface adiabatic temperature of 1600 K. 
#
# POINTS: 1401 
# depth (m), pressure (Pa), temperature (K), density (kg/m^3)
depth             pressure          temperature       density
0 0 1599.9999991731467617 3362.76
5744.54 100000000 1601.7947215755580146 3365.46
9659.71 200000000 1603.5826392553453843 3368.15
13574.9 300000000 1605.3638176068991470 3370.83
17234.1 400000000 1607.1383210168978621 3373.51
20746.8 500000000 1608.9062127322683864 3376.17
24259.5 6e+08 1610.6675549557394334 3378.83
27280.6 7e+08 1612.4224090261116089 3381.48
30281.1 800000000 1614.1708351438419413 3384.12
33281.7 900000000 1615.9128925361785605 3386.75
36282.3 1000000000 1617.6486394619464591 3389.38
39282.9 1100000000 1619.3781331910222434 3392
42288 1.2e+09 1621.1014301027073543 3394.61
45294.6 1300000000 1622.8185856661652906 3397.21
48301.3 1.4e+09 1624.5296545029964363 3399.8
51307.9 1500000000 1626.2346904107650971 3402.39
54314.5 1600000000 1627.9337463189892787 3404.97
57321.1 1.7e+09 1629.6268744150966086 3407.54
60327.9 1800000000 1631.3141260689938008 3410.1
63336.3 1.9e+09 1632.9955517326809513 3412.66
66344.8 2000000000 1634.6712011732809060 3415.21
69353.2 2100000000 1636.3411233822646409 3417.75
72361.6 2200000000 1638.0053666460007662 3420.29
75370 2.3e+09 1639.6639787131523462 3422.81
78378.5 2.4e+09 1641.3170065341414556 3425.33
81385.7 2500000000 1642.9644963711373293 3427.85
84391.5 2600000000 1644.6064938446954784 3430.36
87397.4 2700000000 1646.2430438861097173 3432.86
90403.2 2.8e+09 1647.8741908252513895 3435.35
93409.1 2.9e+09 1649.4999783702662626 3437.84
96414.9 3000000000 1651.1204496236155137 3440.32
99420.7 3100000000 1652.7356471038053769 3442.79
102427 3200000000 1654.3456127180872954 3445.26
105432 3.3e+09 1655.9503878074833665 3447.72
108438 3.4e+09 1657.5500131715173211 3450.17
111444 3500000000 1659.1445290802107593 3452.62
114450 3600000000 1660.7339752708694505 3455.06
117456 3700000000 1662.3183909273934660 3457.5
120463 3.8e+09 1663.8978147126640579 3459.93
123470 3.9e+09 1665.4722848058993350 3462.35
126476 4000000000 1667.0418389165545250 3464.77
129483 4.1e+09 1668.6065142555987677 3467.18
132489 4200000000 1670.1663475582176943 3469.59
135496 4300000000 1671.7213751023555233 3471.99
138503 4400000000 1673.2716326589586515 3474.38
141509 4500000000 1674.8171555920637275 3476.77
144516 4.6e+09 1676.3579788183678829 3479.15
147523 4700000000 1677.8941368236130529 3481.52
150529 4.8e+09 1679.4256636615084517 3483.89
153535 4900000000 1680.9525929750182058 3486.26
156542 5000000000 1682.4749579940371405 3488.62
159548 5.1e+09 1683.9927915351265710 3490.97
162555 5200000000 1685.5061260216571100 3493.32
165561 5.3e+09 1687.0149935311867466 3495.66
168567 5400000000 1688.5194257423013369 3498
171574 5500000000 1690.0194539612646167 3500.33
174580 5.6e+09 1691.5151091394477589 3502.65
177586 5700000000 1693.0064218289014661 3504.98
180593 5.8e+09 1694.4934222430308637 3507.29
183599 5900000000 1695.9761402217836803 3509.6
186605 6000000000 1697.4546052624900767 3511.9
189612 6.1e+09 1698.9288465343263397 3514.2
192618 6200000000 1700.3988929233369163 3516.5
195624 6.3e+09 1701.8647729849383268 3518.79
198631 6400000000 1703.3265149267549532 3521.07
201637 6500000000 1704.7841465987576157 3523.35
204644 6.6e+09 1706.2376955467689186 3525.62
