# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 49 141
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
623.8627408706975 0.0 301.01799999999787 3203.3498153608316 2.0803799115171293e-05 890.2202566794928 8.096035530471687 4.896075311413576 -14327240.169883514
673.7676971905917 0.0 318.07110047624656 3202.191404621096 2.1603352084264995e-05 920.7469379949888 8.08633441682801 4.891120741852068 -14311793.880149378
723.6726535104797 0.0 335.51290457993093 3200.9638681039073 2.2350808140895428e-05 948.5745044744417 8.076067370849987 4.885885183053577 -14295487.052678345
773.5776098303672 0.0 353.38854907193434 3199.6648599057344 2.3052948524528197e-05 973.9904731610889 8.065217030708679 4.880361200135497 -14278299.147837153
823.4825661502554 0.0 371.74008585605173 3198.291787630953 2.371575928250283e-05 997.2452511188297 8.053764210005763 4.874540579989003 -14260207.454813858
873.3875224701433 0.0 390.60738892942805 3196.8418125403095 2.4344575511958937e-05 1018.5583822375459 8.041687926575223 4.8684143643591264 -14241187.221752757
923.2924787900314 0.0 410.028824006034 3195.311845566619 2.4944196478960628e-05 1038.123487352375 8.028965400444603 4.86197286949804 -14221211.74692183
973.1974351099186 0.0 430.0417534566425 3193.698540011964 2.551897911600864e-05 1056.1122262943522 8.015572027360548 4.855205695652973 -14200252.440813025
1023.1023914298067 0.0 450.6829242639486 3191.998281273639 2.6072915282924187e-05 1072.6775160831771 8.001481331301985 4.848101728498618 -14178278.866123168
1073.0073477496944 0.0 471.9887710610454 3190.2071737809183 2.6609696735663164e-05 1087.9561753572327 7.98666489807658 4.840649133988278 -14155258.76060202
1122.9123040695822 0.0 493.99565624365783 3188.321025201344 2.7132770756908567e-05 1102.0711207064865 7.971092291135 4.832835347661191 -14131158.046422968
1172.8172603894702 0.0 516.7400624590425 3186.335327706084 2.76453887263914e-05 1115.1332092361633 7.954730949225742 4.824647058991473 -14105940.828811716
1222.7222167093585 0.0 540.2587484124801 3184.24523718832 2.8150649325387654e-05 1127.2427991622062 7.937546070326474 4.816070192141558 -14079569.38602337
1272.627173029246 0.0 564.5888753518859 3182.0455477268 2.8651538023442696e-05 1138.4910840739267 7.91950046973175 4.807089881348344 -14052004.15230148
1322.5321293491338 0.0 589.7681101011863 3179.730664293155 2.9150963781742812e-05 1148.9612442176765 7.900554426013171 4.797690443916051 -14023203.695127824
1372.4370856690218 0.0 615.8347081800009 3177.294570950101 2.965179422079796e-05 1158.729449501761 7.88066550227896 4.787855348906087 -13993124.687841961
1422.3420419889096 0.0 642.8275836281043 3174.730818708501 3.0156887931922332e-05 1167.8657404463027 7.859788452529039 4.777567201865115 -13961721.878549471
1472.2469983087976 0.0 670.7863400919645 3172.032366961531 3.066914023741915e-05 1176.4348216882497 7.837874457326295 4.766807609030908 -13928948.056131799
1522.1519546286852 0.0 699.7513451520938 3169.1917726522342 3.1191497327758545e-05 1184.4967524645938 7.814871936419205 4.755557328957013 -13894754.014106313
1572.0569109485734 0.0 729.7637135723674 3166.200904877058 3.1727016114856136e-05 1192.107608459866 7.790725197103989 4.74379603390579 -13859088.513056876
1621.961867268461 0.0 760.8653328792079 3163.051000716822 3.227889497897303e-05 1199.3200722461036 7.765374628894127 4.7315023543393435 -13821898.242357392
1671.8668235883492 0.0 793.0988509157394 3159.732575873606 3.285052174734928e-05 1206.1839999416372 7.738756230963256 4.71865380598144 -13783127.78194269
1721.7717799082363 0.0 826.5076497836973 3156.2353472929053 3.344552565647679e-05 1212.7469659347926 7.710801186494188 4.705226729862282 -13742719.564941524
