# This is a data table for orthopyroxene computed using HeFESTo.
# Independent variables are entropy and pressure.
# POINTS: 49 141
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
600 0 301.018 3546.92 2.60211e-05 860.09 9.37606 5.82005 -1.40959e+07
650 0 318.687 3545.25 2.70763e-05 892.778 9.36854 5.81441 -1.40804e+07
700 0 336.73 3543.49 2.80549e-05 922.734 9.36056 5.80844 -1.4064e+07
750 0 355.195 3541.62 2.89653e-05 950.244 9.35212 5.80212 -1.40467e+07
800 0 374.124 3539.66 2.9815e-05 975.555 9.34321 5.79543 -1.40285e+07
850 0 393.558 3537.58 3.06107e-05 998.886 9.3338 5.78837 -1.40093e+07
900 0 413.536 3535.39 3.13581e-05 1020.43 9.32387 5.78093 -1.39891e+07
950 0 434.096 3533.08 3.20627e-05 1040.36 9.31343 5.77309 -1.39679e+07
1000 0 455.274 3530.66 3.27292e-05 1058.83 9.30243 5.76483 -1.39457e+07
1050 0 477.105 3528.11 3.33621e-05 1075.98 9.29086 5.75615 -1.39224e+07
1100 0 499.627 3525.44 3.39653e-05 1091.93 9.2787 5.74702 -1.3898e+07
1150 0 522.873 3522.63 3.45425e-05 1106.81 9.26593 5.73743 -1.38724e+07
1200 0 546.88 3519.69 3.50973e-05 1120.69 9.25252 5.72736 -1.38457e+07
1250 0 571.683 3516.6 3.56328e-05 1133.7 9.23844 5.71679 -1.38177e+07
1300 0 597.319 3513.37 3.6152e-05 1145.9 9.22366 5.70571 -1.37885e+07
1350 0 623.822 3509.98 3.66578e-05 1157.39 9.20816 5.69407 -1.3758e+07
1400 0 651.23 3506.43 3.71529e-05 1168.23 9.1919 5.68188 -1.37261e+07
1450 0 679.579 3502.72 3.76398e-05 1178.49 9.17485 5.6691 -1.36928e+07
1500 0 708.908 3498.82 3.81212e-05 1188.24 9.15698 5.6557 -1.36581e+07
1550 0 739.252 3494.76 3.85993e-05 1197.53 9.13823 5.64165 -1.36219e+07
1600 0 770.652 3490.5 3.90767e-05 1206.42 9.11859 5.62694 -1.35842e+07
1650 0 803.144 3486.04 3.95557e-05 1214.97 9.09799 5.61152 -1.35448e+07
1700 0 836.769 3481.38 4.00385e-05 1223.21 9.0764 5.59537 -1.35039e+07
1750 0 871.565 3476.5 4.05277e-05 1231.21 9.05377 5.57844 -1.34612e+07
1800 0 907.571 3471.4 4.10256e-05 1239 9.03004 5.56071 -1.34167e+07
1850 0 944.828 3466.07 4.15348e-05 1246.63 9.00516 5.54213 -1.33704e+07
1900 0 983.375 3460.49 4.20577e-05 1254.14 8.97907 5.52266 -1.33222e+07
1950 0 1023.25 3454.65 4.2597e-05 1261.58 8.95171 5.50225 -1.3272e+07
2000 0 1064.5 3448.55 4.31557e-05 1268.98 8.92301 5.48086 -1.32198e+07
2050 0 1107.15 3442.16 4.37367e-05 1276.4 8.89289 5.45845 -1.31656e+07
2100 0 1151.25 3435.48 4.43432e-05 1283.86 8.86129 5.43494 -1.31091e+07
2150 0 1196.83 3428.5 4.49789e-05 1291.42 8.82811 5.41029 -1.30504e+07
2200 0 1243.94 3421.19 4.56475e-05 1299.13 8.79327 5.38444 -1.29894e+07
2250 0 1292.6 3413.54 4.63533e-05 1307.03 8.75667 5.35731 -1.2926e+07
2300 0 1342.84 3405.53 4.7101e-05 1315.17 8.7182 5.32885 -1.28601e+07
2350 0 1394.71 3397.15 4.78959e-05 1323.61 8.67776 5.29896 -1.27917e+07
2400 0 1448.22 3388.38 4.87439e-05 1332.42 8.63521 5.26756 -1.27206e+07
2450 0 1503.41 3379.19 4.96518e-05 1341.65 8.59042 5.23458 -1.26468e+07
2500 0 1560.29 3369.57 5.06273e-05 1351.39 8.54326 5.1999 -1.25702e+07
2550 0 1618.87 3359.49 5.16794e-05 1361.71 8.49354 5.16343 -1.24908e+07
2600 0 1679.17 3348.92 5.28185e-05 1372.73 8.4411 5.12505 -1.24083e+07
2650 0 1741.19 3337.84 5.40568e-05 1384.55 8.38573 5.08462 -1.23228e+07
2700 0 1804.93 3326.22 5.54089e-05 1397.31 8.32721 5.04203 -1.22342e+07
2750 0 1870.36 3314.03 5.6892e-05 1411.16 8.26529 4.9971 -1.21423e+07
2800 0 1937.46 3301.22 5.85274e-05 1426.29 8.1997 4.94968 -1.20471e+07
2850 0 2006.18 3287.77 6.03406e-05 1442.94 8.1301 4.89957 -1.19485e+07
2900 0 2076.47 3273.62 6.23638e-05 1461.4 8.05614 4.84655 -1.18465e+07
2950 0 2148.24 3258.74 6.46373e-05 1482.03 7.97737 4.7904 -1.17408e+07
3000 0 2221.38 3243.07 6.72127e-05 1505.29 7.8933 4.73083 -1.16316e+07
600 10000 303.55 3570.2 2.52456e-05 859.743 9.45303 5.85032 -1.38149e+07
650 10000 321.375 3568.57 2.62646e-05 892.393 9.44563 5.84475 -1.37993e+07
700 10000 339.579 3566.83 2.72089e-05 922.31 9.4378 5.83884 -1.37828e+07
750 10000 358.209 3564.99 2.80868e-05 949.778 9.42951 5.83258 -1.37653e+07
800 10000 377.308 3563.05 2.89055e-05 975.047 9.42075 5.82597 -1.37469e+07
850 10000 396.918 3561.01 2.96715e-05 998.333 9.41151 5.81898 -1.37276e+07
900 10000 417.079 3558.85 3.03905e-05 1019.83 9.40178 5.81162 -1.37072e+07
950 10000 437.828 3556.58 3.10675e-05 1039.71 9.39152 5.80386 -1.36858e+07
1000 10000 459.202 3554.2 3.17074e-05 1058.13 9.38073 5.79569 -1.36634e+07
1050 10000 481.237 3551.69 3.23143e-05 1075.22 9.36938 5.7871 -1.36399e+07
1100 10000 503.97 3549.06 3.2892e-05 1091.12 9.35745 5.77808 -1.36153e+07
1150 10000 527.437 3546.3 3.34443e-05 1105.93 9.34492 5.76859 -1.35895e+07
1200 10000 551.674 3543.4 3.39743e-05 1119.75 9.33177 5.75863 -1.35625e+07
1250 10000 576.717 3540.36 3.44852e-05 1132.69 9.31796 5.74819 -1.35343e+07
1300 10000 602.602 3537.18 3.49799e-05 1144.82 9.30347 5.73722 -1.35048e+07
1350 10000 629.366 3533.85 3.5461e-05 1156.23 9.28828 5.72572 -1.34740e+07
1400 10000 657.047 3530.36 3.59312e-05 1166.99 9.27234 5.71367 -1.34419e+07
1450 10000 685.682 3526.7 3.63929e-05 1177.17 9.25563 5.70103 -1.34083e+07
1500 10000 715.308 3522.88 3.68486e-05 1186.82 9.23812 5.68779 -1.33733e+07
1550 10000 745.966 3518.88 3.73005e-05 1196.02 9.21976 5.67391 -1.33368e+07
1600 10000 777.692 3514.69 3.77508e-05 1204.8 9.20052 5.65937 -1.32987e+07
1650 10000 810.528 3510.31 3.82018e-05 1213.23 9.18035 5.64414 -1.3259e+07
1700 10000 844.513 3505.73 3.86557e-05 1221.36 9.15921 5.62818 -1.32176e+07
1750 10000 879.687 3500.94 3.91147e-05 1229.23 9.13705 5.61146 -1.31745e+07
1800 10000 916.091 3495.93 3.95811e-05 1236.88 9.11383 5.59395 -1.31296e+07
1850 10000 953.765 3490.68 4.00571e-05 1244.36 9.08949 5.5756 -1.30829e+07
1900 10000 992.751 3485.2 4.0545e-05 1251.71 9.06396 5.55637 -1.30342e+07
1950 10000 1033.09 3479.47 4.10475e-05 1258.98 9.03721 5.53623 -1.29836e+07
2000 10000 1074.82 3473.48 4.1567e-05 1266.2 9.00914 5.51512 -1.29309e+07
2050 10000 1117.99 3467.21 4.21063e-05 1273.41 8.97971 5.493 -1.28761e+07
2100 10000 1162.63 3460.66 4.26683e-05 1280.65 8.94883 5.46981 -1.28191e+07
2150 10000 1208.79 3453.8 4.32562e-05 1287.97 8.91642 5.4455 -1.27598e+07
2200 10000 1256.5 3446.63 4.38735e-05 1295.42 8.8824 5.42 -1.26982e+07
2250 10000 1305.8 3439.13 4.45238e-05 1303.03 8.84667 5.39325 -1.26341e+07
2300 10000 1356.72 3431.28 4.52115e-05 1310.85 8.80914 5.36519 -1.25676e+07
2350 10000 1409.31 3423.07 4.59411e-05 1318.94 8.76969 5.33573 -1.24984e+07
2400 10000 1463.58 3414.47 4.67178e-05 1327.35 8.72821 5.3048 -1.24266e+07
2450 10000 1519.58 3405.47 4.75476e-05 1336.15 8.68458 5.27232 -1.2352e+07
2500 10000 1577.32 3396.05 4.84372e-05 1345.41 8.63864 5.23818 -1.22746e+07
2550 10000 1636.82 3386.18 4.93944e-05 1355.19 8.59025 5.20228 -1.21943e+07
2600 10000 1698.1 3375.84 5.04281e-05 1365.59 8.53924 5.16452 -1.21109e+07
2650 10000 1761.17 3365 5.15487e-05 1376.72 8.48542 5.12478 -1.20244e+07
2700 10000 1826.03 3353.64 5.27686e-05 1388.68 8.42858 5.08291 -1.19348e+07
2750 10000 1892.66 3341.72 5.41025e-05 1401.61 8.3685 5.03878 -1.18418e+07
2800 10000 1961.05 3329.22 5.55679e-05 1415.69 8.3049 4.99222 -1.17455e+07
2850 10000 2031.17 3316.08 5.71863e-05 1431.11 8.23751 4.94305 -1.16457e+07
2900 10000 2102.96 3302.29 5.89841e-05 1448.12 8.16596 4.89108 -1.15423e+07
2950 10000 2176.36 3287.78 6.0994e-05 1467.01 8.08988 4.83607 -1.14354e+07
3000 10000 2251.28 3272.52 6.32577e-05 1488.18 8.00881 4.77778 -1.13247e+07
600 20000 306.013 3592.95 2.45243e-05 859.428 9.52755 5.87975 -1.35357e+07
650 20000 323.99 3591.34 2.55099e-05 892.043 9.52028 5.87424 -1.35199e+07
700 20000 342.349 3589.62 2.64227e-05 921.923 9.51258 5.86838 -1.35033e+07
750 20000 361.139 3587.81 2.72708e-05 949.353 9.50444 5.86219 -1.34857e+07
800 20000 380.404 3585.9 2.80611e-05 974.581 9.49583 5.85564 -1.34672e+07
850 20000 400.186 3583.89 2.87999e-05 997.825 9.48675 5.84872 -1.34476e+07
900 20000 420.523 3581.76 2.94929e-05 1019.28 9.47718 5.84143 -1.34271e+07
950 20000 441.455 3579.53 3.01449e-05 1039.11 9.46711 5.83376 -1.34056e+07
1000 20000 463.019 3577.18 3.07604e-05 1057.48 9.4565 5.82567 -1.3383e+07
1050 20000 485.252 3574.71 3.13437e-05 1074.53 9.44536 5.81717 -1.33593e+07
1100 20000 508.191 3572.11 3.18983e-05 1090.37 9.43364 5.80824 -1.33344e+07
1150 20000 531.872 3569.39 3.24279e-05 1105.12 9.42134 5.79886 -1.33084e+07
1200 20000 556.331 3566.54 3.29355e-05 1118.89 9.40842 5.789 -1.32812e+07
1250 20000 581.606 3563.55 3.34242e-05 1131.76 9.39487 5.77867 -1.32528e+07
1300 20000 607.733 3560.42 3.38967e-05 1143.83 9.38065 5.76782 -1.32231e+07
1350 20000 634.75 3557.14 3.43556e-05 1155.16 9.36574 5.75645 -1.3192e+07
1400 20000 662.695 3553.7 3.48034e-05 1165.85 9.3501 5.74452 -1.31596e+07
1450 20000 691.605 3550.11 3.52425e-05 1175.94 9.33371 5.73203 -1.31257e+07
1500 20000 721.521 3546.34 3.56751e-05 1185.51 9.31653 5.71893 -1.30904e+07
1550 20000 752.48 3542.4 3.61035e-05 1194.62 9.29852 5.70521 -1.30536e+07
1600 20000 784.523 3538.28 3.65296e-05 1203.31 9.27965 5.69083 -1.30151e+07
1650 20000 817.691 3533.97 3.69557e-05 1211.64 9.25988 5.67577 -1.29751e+07
1700 20000 852.023 3529.47 3.73839e-05 1219.65 9.23916 5.65999 -1.29333e+07
1750 20000 887.562 3524.75 3.7816e-05 1227.41 9.21744 5.64347 -1.28899e+07
1800 20000 924.349 3519.82 3.82544e-05 1234.93 9.19468 5.62616 -1.28446e+07
1850 20000 962.427 3514.67 3.87011e-05 1242.28 9.17084 5.60803 -1.27974e+07
1900 20000 1001.84 3509.28 3.91582e-05 1249.49 9.14584 5.58903 -1.27483e+07
1950 20000 1042.62 3503.65 3.96281e-05 1256.59 9.11964 5.56914 -1.26972e+07
2000 20000 1084.82 3497.76 4.01131e-05 1263.64 9.09216 5.54829 -1.2644e+07
2050 20000 1128.48 3491.6 4.06158e-05 1270.67 9.06335 5.52644 -1.25887e+07
2100 20000 1173.65 3485.16 4.11387e-05 1277.71 9.03313 5.50354 -1.25311e+07
2150 20000 1220.35 3478.43 4.16848e-05 1284.82 9.00143 5.47954 -1.24713e+07
2200 20000 1268.64 3471.38 4.22572e-05 1292.02 8.96816 5.45437 -1.24091e+07
2250 20000 1318.56 3464.02 4.28592e-05 1299.37 8.93324 5.42798 -1.23444e+07
2300 20000 1370.13 3456.31 4.34945e-05 1306.91 8.89656 5.40029 -1.22772e+07
2350 20000 1423.41 3448.25 4.41674e-05 1314.69 8.85803 5.37124 -1.22074e+07
2400 20000 1478.41 3439.82 4.48824e-05 1322.75 8.81753 5.34075 -1.21348e+07
2450 20000 1535.18 3430.99 4.56448e-05 1331.17 8.77494 5.30872 -1.20595e+07
2500 20000 1593.75 3421.75 4.64604e-05 1339.99 8.73012 5.27508 -1.19813e+07
2550 20000 1654.13 3412.07 4.73359e-05 1349.29 8.68294 5.23972 -1.19001e+07
2600 20000 1716.35 3401.94 4.82793e-05 1359.16 8.63324 5.20253 -1.18158e+07
2650 20000 1780.41 3391.32 4.92995e-05 1369.67 8.58082 5.16341 -1.17284e+07
2700 20000 1846.33 3380.2 5.0407e-05 1380.94 8.52552 5.12222 -1.16378e+07
2750 20000 1914.11 3368.53 5.16144e-05 1393.08 8.46709 5.07881 -1.15438e+07
2800 20000 1983.73 3356.3 5.29366e-05 1406.25 8.40531 5.03305 -1.14463e+07
2850 20000 2055.17 3343.46 5.43916e-05 1420.61 8.33989 4.98475 -1.13454e+07
2900 20000 2128.38 3329.98 5.60013e-05 1436.37 8.27052 4.93373 -1.12408e+07
2950 20000 2203.32 3315.81 5.77929e-05 1453.8 8.19686 4.87977 -1.11325e+07
3000 20000 2279.91 3300.92 5.98004e-05 1473.21 8.11847 4.82264 -1.10204e+07
600 30000 308.412 3615.2 2.3851e-05 859.14 9.59987 5.9084 -1.32582e+07
650 30000 326.536 3613.61 2.48057e-05 891.722 9.59272 5.90293 -1.32424e+07
700 30000 345.047 3611.92 2.56895e-05 921.567 9.58514 5.89713 -1.32256e+07
750 30000 363.993 3610.13 2.651e-05 948.962 9.57712 5.891 -1.32078e+07
800 30000 383.419 3608.24 2.72742e-05 974.152 9.56866 5.88451 -1.31892e+07
850 30000 403.366 3606.26 2.79881e-05 997.357 9.55973 5.87767 -1.31695e+07
900 30000 423.875 3604.16 2.86571e-05 1018.77 9.55032 5.87045 -1.31488e+07
950 30000 444.985 3601.96 2.92861e-05 1038.56 9.54041 5.86284 -1.31271e+07
1000 30000 466.734 3599.64 2.98794e-05 1056.89 9.52999 5.85484 -1.31043e+07
1050 30000 489.159 3597.21 3.0441e-05 1073.88 9.51903 5.84642 -1.30804e+07
1100 30000 512.297 3594.65 3.09746e-05 1089.67 9.50751 5.83758 -1.30554e+07
1150 30000 536.185 3591.97 3.14834e-05 1104.37 9.49542 5.82829 -1.30292e+07
1200 30000 560.86 3589.16 3.19707e-05 1118.08 9.48273 5.81853 -1.30017e+07
1250 30000 586.36 3586.21 3.24391e-05 1130.9 9.46941 5.8083 -1.29731e+07
1300 30000 612.722 3583.12 3.28915e-05 1142.9 9.45544 5.79757 -1.29431e+07
1350 30000 639.984 3579.89 3.33303e-05 1154.17 9.44079 5.78631 -1.29118e+07
