|6.6.6
morb_1.tab                                                                                          
           2
P(bar)  
   10000.000000000000     
   20000.000000000000     
          68
T(K)    
   400.00000000000000     
   100.00000000000000     
          37
27
P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg vol_fraction_Sp vol_fraction_Pl vol_fraction_Aki vol_fraction_Cpx vol_fraction_O vol_fraction_Ring vol_fraction_seif vol_fraction_Ppv vol_fraction_Opx vol_fraction_Wus vol_fraction_Gt vol_fraction_st vol_fraction_C2_c vol_fraction_coe vol_fraction_q vol_fraction_CF vol_fraction_Pv vol_fraction_ky vol_fraction_ca_pv
10000.0 400.000 3500.91 0.219372E-004 948.285 8.15995 4.70269 -0.125485E+008 0.000000 0.000000 0.000000 0.660203 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.197955 0.000000 0.000000 0.000000 0.060017 0.000000 0.000000 0.081825 0.000000
30000.0 400.000 3578.30 0.207786E-004 942.277 8.47805 4.79242 -0.119888E+008 0.000000 0.000000 0.000000 0.649845 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.217702 0.000000 0.000000 0.056259 0.000000 0.000000 0.000000 0.076193 0.000000
50000.0 400.000 3638.12 0.189689E-004 937.851 8.72304 4.88753 -0.114404E+008 0.000000 0.000000 0.000000 0.560553 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.328231 0.000000 0.000000 0.074906 0.000000 0.000000 0.000000 0.036310 0.000000
70000.0 400.000 3793.77 0.181465E-004 924.343 9.16606 5.12995 -0.109103E+008 0.000000 0.000000 0.000000 0.493859 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.439991 0.066149 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
90000.0 400.000 3835.35 0.171335E-004 920.145 9.29526 5.16327 -0.103901E+008 0.000000 0.000000 0.000000 0.493052 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.440464 0.066484 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
110000. 400.000 3878.96 0.162115E-004 915.501 9.44051 5.21163 -0.987512E+007 0.000000 0.000000 0.000000 0.481816 0.000000 0.007109 0.000000 0.000000 0.000000 0.000000 0.441753 0.069322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
130000. 400.000 4023.72 0.148443E-004 894.409 10.0715 5.63960 -0.938965E+007 0.000000 0.000000 0.000000 0.208286 0.000000 0.182290 0.000000 0.000000 0.000000 0.000000 0.475580 0.133845 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
150000. 400.000 4062.90 0.142098E-004 890.137 10.1837 5.67969 -0.889852E+007 0.000000 0.000000 0.000000 0.194992 0.000000 0.186609 0.000000 0.000000 0.000000 0.000000 0.482482 0.135917 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
170000. 400.000 4098.29 0.136387E-004 886.370 10.2824 5.71157 -0.841129E+007 0.000000 0.000000 0.000000 0.188649 0.000000 0.187354 0.000000 0.000000 0.000000 0.000000 0.487363 0.136635 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
190000. 400.000 4142.43 0.131185E-004 881.647 10.3909 5.76152 -0.792645E+007 0.000000 0.000000 0.000000 0.149162 0.000000 0.187870 0.000000 0.000000 0.000000 0.000000 0.525603 0.137365 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
210000. 400.000 4378.24 0.145864E-004 866.769 10.9979 6.15825 -0.746986E+007 0.000000 0.000000 0.462273 0.219616 0.000000 0.000000 0.000000 0.000000 0.000000 0.005484 0.000000 0.079932 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.232695
230000. 400.000 4608.11 0.147852E-004 853.722 11.3288 6.56667 -0.703540E+007 0.000000 0.000000 0.170924 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.129914 0.000000 0.303113 0.000000 0.000000 0.000000 0.152682 0.000000 0.000000 0.243366
250000. 400.000 4637.06 0.143639E-004 850.174 11.4106 6.60146 -0.660552E+007 0.000000 0.000000 0.165955 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.132184 0.000000 0.306299 0.000000 0.000000 0.000000 0.152177 0.000000 0.000000 0.243384
270000. 400.000 4667.70 0.140325E-004 847.088 11.4792 6.62419 -0.617731E+007 0.000000 0.000000 0.138155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.138378 0.000000 0.317937 0.000000 0.000000 0.000000 0.162017 0.000000 0.000000 0.243513
290000. 400.000 4696.31 0.136686E-004 843.820 11.5541 6.65570 -0.575217E+007 0.000000 0.000000 0.128473 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.139343 0.000000 0.321571 0.000000 0.000000 0.000000 0.167056 0.000000 0.000000 0.243557
310000. 400.000 4756.86 0.140782E-004 844.684 11.6176 6.62588 -0.533189E+007 0.000000 0.000000 0.119607 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.147846 0.000000 0.000000 0.000000 0.172029 0.315247 0.000000 0.245270
330000. 400.000 4784.70 0.137621E-004 841.175 11.6865 6.65377 -0.491500E+007 0.000000 0.000000 0.107608 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.150725 0.000000 0.000000 0.000000 0.178729 0.317630 0.000000 0.245307
350000. 400.000 4811.58 0.134414E-004 837.742 11.7545 6.68431 -0.449999E+007 0.000000 0.000000 0.097457 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.154953 0.000000 0.000000 0.000000 0.188880 0.313396 0.000000 0.245315
370000. 400.000 4838.94 0.131665E-004 834.338 11.8200 6.70935 -0.408832E+007 0.000000 0.000000 0.085307 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.156837 0.000000 0.000000 0.000000 0.193050 0.319441 0.000000 0.245365
390000. 400.000 4865.44 0.128817E-004 831.024 11.8845 6.73820 -0.367815E+007 0.000000 0.000000 0.073494 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.161170 0.000000 0.000000 0.000000 0.203452 0.316493 0.000000 0.245390
410000. 400.000 4891.95 0.125798E-004 827.906 11.9453 6.77535 -0.326839E+007 0.000000 0.000000 0.050855 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.174405 0.000000 0.000000 0.000000 0.236318 0.292990 0.000000 0.245432
430000. 400.000 4917.11 0.123292E-004 824.616 12.0105 6.79826 -0.286373E+007 0.000000 0.000000 0.050810 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.171711 0.000000 0.000000 0.000000 0.228991 0.303065 0.000000 0.245423
450000. 400.000 4942.72 0.120660E-004 821.534 12.0711 6.82932 -0.245945E+007 0.000000 0.000000 0.036740 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.178885 0.000000 0.000000 0.000000 0.246534 0.292389 0.000000 0.245453
470000. 400.000 4968.82 0.118069E-004 818.601 12.1281 6.86399 -0.205672E+007 0.000000 0.000000 0.014033 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.191217 0.000000 0.000000 0.000000 0.277012 0.272216 0.000000 0.245521
490000. 400.000 4994.02 0.115607E-004 815.663 12.1873 6.89628 -0.165655E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.198848 0.000000 0.000000 0.000000 0.295687 0.259905 0.000000 0.245560
510000. 400.000 5017.71 0.113278E-004 812.662 12.2506 6.92506 -0.125885E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.198977 0.000000 0.000000 0.000000 0.295612 0.259873 0.000000 0.245538
530000. 400.000 5041.12 0.111039E-004 809.709 12.3130 6.95331 -862981. 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199100 0.000000 0.000000 0.000000 0.295542 0.259841 0.000000 0.245517
550000. 400.000 5064.27 0.108885E-004 806.801 12.3743 6.98112 -468912. 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.199220 0.000000 0.000000 0.000000 0.295480 0.259803 0.000000 0.245496
