|6.6.6
pyrolite_1.tab                                                                                      
           2
P(bar)  
   10000.000000000000     
   20000.000000000000     
          68
T(K)    
   400.00000000000000     
   100.00000000000000     
          37
27
P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg vol_fraction_ky vol_fraction_CF vol_fraction_Aki vol_fraction_Ppv vol_fraction_Sp vol_fraction_ca_pv vol_fraction_Wad vol_fraction_Pv vol_fraction_q vol_fraction_C2_c vol_fraction_Cpx vol_fraction_Opx vol_fraction_st vol_fraction_Gt vol_fraction_Wus vol_fraction_Pl vol_fraction_Ring vol_fraction_O vol_fraction_neph
10000.0 400.000 3383.89 0.243333E-004 984.604 8.28915 4.78084 -0.130478E+008 0.049414 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.171370 0.134159 0.000000 0.019380 0.000000 0.000000 0.000000 0.625678 0.000000
30000.0 400.000 3460.53 0.221033E-004 980.694 8.55088 4.88282 -0.124714E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.163791 0.107220 0.000000 0.149672 0.000000 0.000000 0.000000 0.579318 0.000000
50000.0 400.000 3519.66 0.214085E-004 974.766 8.74630 4.97320 -0.119068E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.102052 0.166871 0.000000 0.000000 0.150709 0.000000 0.000000 0.000000 0.580367 0.000000
70000.0 400.000 3569.02 0.199603E-004 969.102 8.91218 5.03231 -0.113485E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.110647 0.157689 0.000000 0.000000 0.151551 0.000000 0.000000 0.010792 0.569321 0.000000
90000.0 400.000 3619.11 0.187029E-004 963.553 9.08123 5.09163 -0.107968E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.121563 0.146021 0.000000 0.000000 0.152433 0.000000 0.000000 0.034324 0.545658 0.000000
110000. 400.000 3802.61 0.178576E-004 944.899 9.83894 5.57166 -0.102665E+008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.257660 0.000000 0.000000 0.240649 0.027798 0.000000 0.000000 0.165214 0.000000 0.000000 0.308679 0.000000 0.000000
130000. 400.000 3947.88 0.148727E-004 924.805 10.3367 5.84744 -0.976727E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.025938 0.000000 0.060209 0.170284 0.000000 0.000000 0.743568 0.000000 0.000000
150000. 400.000 3981.87 0.142114E-004 920.749 10.4337 5.87923 -0.926606E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.023014 0.000000 0.060547 0.172528 0.000000 0.000000 0.743911 0.000000 0.000000
170000. 400.000 4015.41 0.136084E-004 916.855 10.5264 5.90835 -0.876842E+007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.017486 0.000000 0.060734 0.177643 0.000000 0.000000 0.744137 0.000000 0.000000
190000. 400.000 4057.13 0.130183E-004 910.409 10.6663 5.97616 -0.827742E+007 0.000000 0.000000 0.015542 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.009775 0.000000 0.068495 0.139105 0.000000 0.000000 0.767084 0.000000 0.000000
210000. 400.000 4136.55 0.131104E-004 904.671 10.8838 6.10604 -0.779373E+007 0.000000 0.000000 0.066712 0.000000 0.000000 0.067244 0.000000 0.000000 0.000000 0.000000 0.026274 0.000000 0.068006 0.000000 0.000000 0.000000 0.771763 0.000000 0.000000
230000. 400.000 4425.57 0.154108E-004 882.104 11.3983 6.70252 -0.734020E+007 0.000000 0.018568 0.067590 0.000000 0.000000 0.071489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.380032 0.000000 0.462322 0.000000 0.000000 0.000000 0.000000
