|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   6410.2307692307695
          40
T(K)
   300.00000000000000
   56.410256410256409
          40
          30
P(bar)         T(K)           rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        	vol_Pl1 vol_Pl2 vol_O vol_Cpx1 vol_Cpx2 vol_ky vol_q vol_Opx vol_Gt1 vol_Gt2 vol_Sp vol_C2overc vol_Ring vol_Wad vol_st vol_Wus1 vol_Wus2 vol_Aki1 vol_Aki2 vol_capv vol_CF vol_Pv
  1.00000        300.000        3305.89       0.212517E-004   858.434        7.33378        3.64967      -0.134344E+008	0.0381445 0 0.721705 0.13978 0 0.0557572 0.0446141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        300.000        3391.38       0.211381E-004   854.627        8.33749        4.82705      -0.132479E+008	0 0 0.61055 0.13909 0.0290736 0.0337792 0 0.126896 0.0606111 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        300.000        3422.84       0.204411E-004   853.304        8.45259        4.88339      -0.130631E+008	0 0 0.585762 0.136328 0.0298683 0.00755613 0 0.11066 0.129826 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        300.000        3443.16       0.198327E-004   851.194        8.52072        4.90756      -0.128780E+008	0 0 0.578649 0.13644 0.0301722 0 0 0.10496 0.149779 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        300.000        3459.19       0.192729E-004   848.737        8.57294        4.92300      -0.126936E+008	0 0 0.578614 0.137731 0.0303405 0 0 0.103417 0.149897 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        300.000        3475.00       0.187443E-004   846.327        8.62508        4.93938      -0.125100E+008	0 0 0.578543 0.138613 0.0305114 0 0 0.102268 0.150064 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        300.000        3490.44       0.182447E-004   844.004        8.67491        4.95385      -0.123271E+008	0 0 0.578496 0.139467 0.0306856 0 0 0.101169 0.150182 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        300.000        3515.72       0.185979E-004   840.597        8.75199        4.99846      -0.121458E+008	0 0 0.579996 0.139616 0.0301521 0 0 0 0.150787 0 0 0.0994488 0 0 0 0 0 0 0 0 0 0
  51282.8        300.000        3530.82       0.181561E-004   838.222        8.80052        5.01396      -0.119650E+008	0 0 0.579957 0.138764 0.0285983 0 0 0 0.151008 0 0 0.101672 0 0 0 0 0 0 0 0 0 0
  57693.1        300.000        3547.10       0.177276E-004   835.739        8.85567        5.03376      -0.117853E+008	0 0 0.575137 0.136786 0.0276454 0 0 0 0.151286 0 0 0.104401 0.00474522 0 0 0 0 0 0 0 0 0
  64103.3        300.000        3563.68       0.173175E-004   833.264        8.91200        5.05341      -0.116063E+008	0 0 0.567939 0.133961 0.0268725 0 0 0 0.151526 0 0 0.107781 0.0119202 0 0 0 0 0 0 0 0 0
  70513.5        300.000        3579.90       0.169315E-004   830.826        8.96719        5.07268      -0.114280E+008	0 0 0.561031 0.129984 0.0262824 0 0 0 0.151802 0 0 0.112069 0.0188308 0 0 0 0 0 0 0 0 0
  76923.8        300.000        3595.68       0.165686E-004   828.424        9.02079        5.09136      -0.112502E+008	0 0 0.554933 0.124756 0.0257163 0 0 0 0.152133 0 0 0.117485 0.0249775 0 0 0 0 0 0 0 0 0
  83334.0        300.000        3611.47       0.162316E-004   825.953        9.07627        5.11263      -0.110732E+008	0 0 0.548563 0.116067 0.0253857 0 0 0 0.152661 0 0 0.125911 0.0314118 0 0 0 0 0 0 0 0 0
  89744.2        300.000        3627.91       0.159489E-004   823.025        9.14269        5.14650      -0.108971E+008	0 0 0.542116 0.0928319 0.0252553 0 0 0 0.154121 0 0 0.147654 0.0380217 0 0 0 0 0 0 0 0 0
  96154.5        300.000        3650.06       0.158342E-004   817.824        9.26764        5.23698      -0.107232E+008	0 0 0.525472 0.0059033 0.0257046 0 0 0 0.159376 0 0 0.228115 0.0554285 0 0 0 0 0 0 0 0 0
  102565.        300.000        3673.52       0.154822E-004   814.226        9.34932        5.27534      -0.105481E+008	0 0 0.490065 0.0255879 0 0 0 0 0.160144 0 0 0.234388 0.0898147 0 0 0 0 0 0 0 0 0
  108975.        300.000        3826.22       0.144464E-004   793.182        9.92407        5.62962      -0.103832E+008	0 0 0 0.026369 0 0 0 0 0.0374545 0.128393 0 0.243443 0.549005 0.0153357 0 0 0 0 0 0 0 0
  115385.        300.000        3929.05       0.127864E-004   775.504        10.2972        5.85047      -0.102234E+008	0 0 0 0.0265755 0 0 0 0 0.0409832 0.128765 0 0 0.74355 0 0.060126 0 0 0 0 0 0 0
  121795.        300.000        3940.00       0.125844E-004   773.777        10.3287        5.86045      -0.100612E+008	0 0 0 0.0262322 0 0 0 0 0.0377329 0.132047 0 0 0.743724 0 0.0602637 0 0 0 0 0 0 0
  128206.        300.000        3950.83       0.123884E-004   772.079        10.3597        5.87028      -0.989936E+007	0 0 0 0.0259351 0 0 0 0 0.0340267 0.135925 0 0 0.743758 0 0.060355 0 0 0 0 0 0 0
  134616.        300.000        3961.50       0.121981E-004   770.415        10.3903        5.87989      -0.973800E+007	0 0 0 0.0258793 0 0 0 0 0.0292572 0.140735 0 0 0.743707 0 0.060422 0 0 0 0 0 0 0
  141026.        300.000        3972.12       0.120130E-004   768.766        10.4207        5.88953      -0.957706E+007	0 0 0 0.0256999 0 0 0 0 0.0237338 0.146443 0 0 0.74364 0 0.0604832 0 0 0 0 0 0 0
  147436.        300.000        3982.66       0.118329E-004   767.140        10.4508        5.89904      -0.941654E+007	0 0 0 0.0255434 0 0 0 0 0.017673 0.152692 0 0 0.743554 0 0.060538 0 0 0 0 0 0 0
  153847.        300.000        3993.16       0.116577E-004   765.531        10.4807        5.90846      -0.925643E+007	0 0 0 0.0252173 0 0 0 0 0.0102809 0.160408 0 0 0.743496 0 0.0605978 0 0 0 0 0 0 0
  160257.        300.000        4003.69       0.114867E-004   763.921        10.5106        5.91819      -0.909672E+007	0 0 0 0.0246162 0 0 0 0 0.17131 0 0 0 0.743421 0 0.0606529 0 0 0 0 0 0 0
  166667.        300.000        4014.05       0.113218E-004   762.368        10.5395        5.92669      -0.893737E+007	0 0 0 0.023861 0 0 0 0 0.172006 0 0 0 0.743427 0 0.0607058 0 0 0 0 0 0 0
  173077.        300.000        4029.75       0.111306E-004   758.534        10.6005        5.95892      -0.877905E+007	0 0 0 0.0233224 0 0 0 0 0.140783 0 0 0 0.759699 0 0.0661551 0 0 0.010041 0 0 0 0
  179487.        300.000        4042.77       0.109602E-004   755.843        10.6443        5.97876      -0.862095E+007	0 0 0 0.0221193 0 0 0 0 0.1263 0 0 0 0.76695 0 0.0685682 0 0 0.0160619 0 0 0 0
  185898.        300.000        4054.91       0.107995E-004   753.580        10.6814        5.99444      -0.846324E+007	0 0 0 0.0200152 0 0 0 0 0.119536 0 0 0 0.770229 0 0.0696457 0 0 0.0205735 0 0 0 0
  192308.        300.000        4066.90       0.106448E-004   751.489        10.7155        6.00880      -0.830596E+007	0 0 0 0.0163986 0 0 0 0 0.118006 0 0 0 0.771136 0 0.0699103 0 0 0.0245495 0 0 0 0
  198718.        300.000        4079.62       0.104934E-004   749.334        10.7493        6.02454      -0.814911E+007	0 0 0 0.00952771 0 0 0 0 0.121452 0 0 0 0.77054 0 0.0696202 0 0 0.0288606 0 0 0 0
  205128.        300.000        4105.42       0.102578E-004   745.563        10.7989        6.03310      -0.799454E+007	0 0 0 0 0 0 0 0 0.127778 0 0 0 0.646741 0 0.0241682 0 0 0.170776 0.0305362 0 0 0
  211539.        300.000        4180.50       0.105392E-004   741.318        10.9634        6.13949      -0.784338E+007	0 0 0 0 0 0 0 0 0 0 0 0 0.570702 0 0 0 0 0.276057 0.0690958 0.06779 0.0163551 0
  217949.        300.000        4297.32       0.110993E-004   732.520        11.1809        6.29259      -0.769369E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.164008 0 0.687485 0.0620416 0.0695435 0.016922 0
  224359.        300.000        4423.19       0.127105E-004   717.878        11.4143        6.73029      -0.755267E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37832 0.419929 0.0413475 0.0715929 0 0.0714368 0.0173741 0
  230769.        300.000        4432.83       0.125754E-004   716.382        11.4396        6.74053      -0.740844E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.380059 0.419714 0.0426352 0.0686942 0 0.0714498 0.0174483 0
  237180.        300.000        4442.38       0.124424E-004   714.892        11.4649        6.75089      -0.726452E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.381627 0.4195 0.0437811 0.0661061 0 0.0714621 0.0175233 0
  243590.        300.000        4451.86       0.123112E-004   713.408        11.4902        6.76139      -0.712091E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.383003 0.419283 0.0447668 0.0638574 0 0.0714739 0.0176154 0
  250000.        300.000        4461.27       0.121821E-004   711.931        11.5153        6.77194      -0.697760E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.384257 0.419068 0.0456509 0.061831 0 0.0714852 0.0177086 0
  1.00000        356.410        3301.99       0.234729E-004   942.104        7.31893        3.64162      -0.133834E+008	0.037595 0 0.7218 0.140166 0 0.0557476 0.0446922 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        356.410        3374.93       0.234516E-004   938.153        8.26407        4.77606      -0.131949E+008	0 0 0.630598 0.141575 0.0297944 0.0547156 0 0.137986 0.00533208 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        356.410        3414.55       0.226337E-004   937.699        8.41141        4.85276      -0.130106E+008	0 0 0.592026 0.135035 0.0309963 0.0139485 0 0.115073 0.112922 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        356.410        3438.31       0.219537E-004   936.216        8.49169        4.88320      -0.128257E+008	0 0 0.578937 0.134356 0.0314858 0 0 0.105603 0.149619 0 0 0 0 0 0 0 0 0 0 0 0 0
