# Header for the PREM reference profile data
# Only next line is parsed in format: [nx] [ny] [nz] because of keyword "POINTS:"
# POINTS:28 
radius vs
6.333000000000000000e+06 4.600000000000000000e+03
6.321000000000000000e+06 4.570000000000000000e+03
6.296000000000000000e+06 4.547500000000000000e+03
6.271000000000000000e+06 4.532500000000000909e+03
6.246000000000000000e+06 4.532500000000000909e+03
6.221000000000000000e+06 4.547500000000000000e+03
6.196000000000000000e+06 4.529999999999999091e+03
6.171000000000000000e+06 4.510000000000000000e+03
6.146000000000000000e+06 4.535000000000000000e+03
6.121000000000000000e+06 4.570000000000000000e+03
6.096000000000000000e+06 4.602500000000000000e+03
6.071000000000000000e+06 4.645000000000000000e+03
6.046000000000000000e+06 4.685000000000000909e+03
6.021000000000000000e+06 4.717499999999999091e+03
5.996000000000000000e+06 4.747500000000000909e+03
5.966000000000000000e+06 4.780000000000000000e+03
5.965000000000000000e+06 5.000000000000000000e+03
5.946000000000000000e+06 5.050000000000000000e+03
5.921000000000000000e+06 5.090000000000000000e+03
5.896000000000000000e+06 5.140000000000000000e+03
5.871000000000000000e+06 5.190000000000000000e+03
5.846000000000000000e+06 5.240000000000000000e+03
5.821000000000000000e+06 5.290000000000000000e+03
5.796000000000000000e+06 5.345000000000000000e+03
5.771000000000000000e+06 5.395000000000000000e+03
5.746000000000000000e+06 5.445000000000000000e+03
5.712000000000000000e+06 5.500000000000000000e+03
5.711000000000000000e+06 5.910000000000000000e+03
5.650000000000000000e+06 6.061239999999999782e+03
5.600000000000010245e+06 6.206720000000000255e+03
5.600000000000000000e+06 6.206729999999999563e+03
5.500000000000000000e+06 6.276800000000000182e+03
5.400000000000000000e+06 6.343649999999999636e+03
5.300000000000000000e+06 6.407489999999999782e+03
5.200000000000000000e+06 6.468550000000000182e+03
5.100000000000000000e+06 6.527020000000000437e+03
5.000000000000000000e+06 6.583130000000000109e+03
4.900000000000000000e+06 6.637100000000000364e+03
4.800000000000000000e+06 6.689119999999999891e+03
4.700000000000000000e+06 6.739430000000000291e+03
4.600000000000000000e+06 6.788229999999999563e+03
4.500000000000000000e+06 6.835739999999999782e+03
4.400000000000000000e+06 6.882159999999999854e+03
4.300000000000000000e+06 6.927720000000000255e+03
4.200000000000000000e+06 6.972640000000000327e+03
4.100000000000000000e+06 7.017109999999999673e+03
4.000000000000000000e+06 7.061359999999999673e+03
3.900000000000000000e+06 7.105609999999999673e+03
3.800000000000000000e+06 7.150060000000000400e+03
3.700000000000000000e+06 7.194920000000000073e+03
3.630000000000009779e+06 7.226699999999999818e+03
3.630000000000000000e+06 7.226699999999999818e+03
3.600000000000000000e+06 7.226470000000000255e+03
3.500000000000000000e+06 7.225590000000000146e+03
3.480000000000009779e+06 7.225380000000000109e+03
