# Test data for ascii data reference state
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 58
# Columns: depth (m), density_ratio (Pa.s)
depth density_scaling
3.349709068747706478e+05 2.153078637969572107e-01
3.785847043762741960e+05 2.198052514032340365e-01
4.144828785552316695e+05 2.248497232243824584e-01
4.160615940549952211e+05 2.341692278204794975e-01
4.165243836423626635e+05 2.446590494172528607e-01
4.282771141072668252e+05 2.523769689097441482e-01
5.054187622659506160e+05 2.532602810479384070e-01
5.246282533772039460e+05 2.459387365499166589e-01
5.296433813545936719e+05 2.354512263107655379e-01
6.152379197329123272e+05 2.316822816193956913e-01
6.662229777407144429e+05 2.566937864338443842e-01
6.663079799098224612e+05 2.462041959728332730e-01
6.664402055062137078e+05 2.671835044180347341e-01
6.667329907553644152e+05 2.357147489753986802e-01
6.856353143798025558e+05 2.738007538025334364e-01
7.337765197720543947e+05 2.739993216353328043e-01
8.044529167871731333e+05 2.772795446289661458e-01
8.082475937603721395e+05 2.839033335135668912e-01
8.577075098814229714e+05 2.831040176114474893e-01
9.092636588850909611e+05 2.832132250750794000e-01
9.751967083696253831e+05 2.841794551255453771e-01
1.024994363268810557e+06 2.842004667942791829e-01
1.100961849302373594e+06 2.832155524561219551e-01
1.181129283925500233e+06 2.824769396636349628e-01
1.244953729929969646e+06 2.810078260961315633e-01
1.296202387058676453e+06 2.789672479223455070e-01
1.335323623460185947e+06 2.803509148365160852e-01
1.397926377164630918e+06 2.786399473315026576e-01
1.477634794677609345e+06 2.780154069429026653e-01
1.529240907441959251e+06 2.762386866904809612e-01
1.577075098814229015e+06 2.749687296742883702e-01
1.632993035026764031e+06 2.751453594184079532e-01
1.688422858809516998e+06 2.718311391529660836e-01
1.756205792216412723e+06 2.722499313757869022e-01
1.796452987330562901e+06 2.693221231675845817e-01
1.845849802371541504e+06 2.691749637264221895e-01
1.882887358244145522e+06 2.698678288167086214e-01
1.926969078371475451e+06 2.682174717481058956e-01
1.993278031262739561e+06 2.664064384425867682e-01
2.076700347183841048e+06 2.648330731324850529e-01
2.134264031339881010e+06 2.620438288332252452e-01
2.201570856349336915e+06 2.621876092104848954e-01
2.267967790891183075e+06 2.602491333933661388e-01
2.332476858124645893e+06 2.601147475216871729e-01
2.383513873844780494e+06 2.569917883758844890e-01
2.457155716282831971e+06 2.570380963608413505e-01
2.490930293423411436e+06 2.522738506613297349e-01
2.560127973586320877e+06 2.501912998265303223e-01
2.617921284529822879e+06 2.479549598082761985e-01
2.622264559204486199e+06 2.369512256758242175e-01
2.638771620647776406e+06 2.257437909193952819e-01
2.699814871487623081e+06 2.226892604693232469e-01
2.757413619646971580e+06 2.205272727031336033e-01
2.763812060140714515e+06 1.999887397942154421e-01
2.763878172950000000e+06 2.104783940168161727e-01
2.763878172978909847e+06 1.894991413630055521e-01
2.781110583020539023e+06 1.678023863339491717e-01
2.867232715129922144e+06 1.645674500961326614e-01
