----- Modified from GlisovicEtAl_2015GRL -----
z(m)_orig z(m)_mod radius(m) G(K) M(K) N(K)
2888000.00000000 2891000.00000000 3480000.00000000 3443.61053605 3739.00000000 3300.00000000
2887565.09419732 2890565.09419732 3480434.90580268 3434.74516339 3734.26431589 3288.27000000
2886260.63876027 2889260.63876027 3481739.36123973 3408.48454172 3720.12623184 3253.13000000
2884087.41944403 2887087.41944403 3483912.58055597 3365.66120422 3696.79223555 3195.08000000
2881046.74531465 2884046.74531465 3486953.25468535 3307.58642730 3664.60508503 3115.96000000
2877140.44796054 2880140.44796054 3490859.55203946 3236.06719336 3624.04173452 3020.07000000
2872370.88038914 2875370.88038914 3495629.11961086 3153.42322333 3575.71044704 2914.78000000
2866740.91560963 2869740.91560963 3501259.08439037 3062.47167878 3520.34710957 2809.57000000
2860253.94490226 2863253.94490226 3507746.05509774 2966.49003251 3458.81077159 2713.71000000
2852913.87577563 2855913.87577563 3515086.12422437 2869.12004133 3392.07843183 2633.64000000
2844725.12961292 2847725.12961292 3523274.87038708 2774.24552614 3321.23910227 2571.70000000
2835692.63900862 2838692.63900862 3532307.36099138 2685.77406397 3247.48718273 2526.64000000
2825821.84479731 2828821.84479731 3542178.15520269 2607.38294963 3172.11518291 2495.29000000
2815118.69277635 2818118.69277635 3552881.30722365 2542.18712329 3096.50583266 2474.10000000
2803589.63012428 2806589.63012428 3564410.36987572 2492.33739261 3022.12362462 2459.98000000
2791241.60151736 2794241.60151736 3576758.39848264 2458.56473587 2950.50583643 2450.65000000
2778082.04494630 2781082.04494630 3589917.95505370 2439.65690870 2883.25308294 2444.50000000
2764118.88723590 2767118.88723590 3603881.11276410 2431.86484667 2821.48773853 2440.37000000
2749360.53927025 2752360.53927025 3618639.46072975 2428.24501498 2764.24508542 2437.49000000
2733815.89092632 2736815.89092632 3634184.10907368 2424.51782277 2736.27139156 2435.28000000
2717494.30571902 2720494.30571902 3650505.69428098 2420.68821957 2723.46195630 2433.36000000
2700405.61516098 2703405.61516098 3667594.38483902 2416.75957819 2712.67119731 2431.47000000
2682560.11284039 2685560.11284039 3685439.88715961 2412.73330845 2703.75867190 2429.43000000
2663968.54822058 2666968.54822058 3704031.45177942 2408.60920959 2696.46017708 2427.10000000
2644642.12016487 2647642.12016487 3723357.87983513 2404.38555438 2690.37585033 2424.37000000
2624592.47019089 2627592.47019089 3743407.52980911 2400.05921625 2684.95872238 2421.12000000
2603831.67545805 2606831.67545805 3764168.32454195 2395.62584502 2679.50382580 2417.37000000
2582372.24149282 2585372.24149282 3785627.75850718 2391.08009870 2673.13796096 2413.25000000
2560227.09465579 2563227.09465579 3807772.90534421 2386.41583758 2664.98529377 2408.85000000
2537409.57435536 2540409.57435536 3830590.42564464 2381.62635180 2656.31805553 2404.12000000
2513933.42501256 2516933.42501256 3854066.57498744 2376.70459975 2647.64434596 2398.95000000
2489812.78778192 2492812.78778192 3878187.21221808 2371.64343393 2638.93433500 2393.36000000
2465062.19203338 2468062.19203338 3902937.80796662 2366.43587030 2630.14925594 2387.44000000
2439696.54660033 2442696.54660033 3928303.45339967 2361.07536362 2621.24110312 2381.18000000
2413731.13079909 2416731.13079909 3954268.86920091 2355.55589450 2612.15238420 2374.56000000
2387181.58522525 2390181.58522525 3980818.41477475 2349.87228788 2602.81592997 2367.75000000
2360063.90233230 2363063.90233230 4007936.09766770 2344.02037282 2593.16600740 2361.04000000
2332394.41679842 2335394.41679842 4035605.58320158 2337.99703627 2583.32598702 2354.55000000
2304189.79568707 2307189.79568707 4063810.20431293 2331.80032420 2573.34227761 2348.35000000
2275467.02840737 2278467.02840737 4092532.97159263 2325.42929904 2563.19789355 2342.34000000
2246243.41648030 2249243.41648030 4121756.58351970 2318.88413620 2552.87312907 2336.38000000
2216536.56311697 2219536.56311697 4151463.43688303 2312.16584886 2542.34558735 2330.40000000
2186364.36261501 2189364.36261501 4181635.63738499 2305.27601604 2531.59022861 2324.47000000
2155744.98957981 2158744.98957981 4212255.01042019 2298.21676599 2520.58166699 2318.67000000
2124696.88797674 2127696.88797674 4243303.11202326 2290.99020379 2509.32911767 2312.89000000
2093238.76002125 2096238.76002125 4274761.23997875 2283.59835536 2497.86075958 2306.97000000
2061389.55491333 2064389.55491333 4306610.44508667 2276.04293044 2486.20502863 2300.87000000
2029168.45742321 2032168.45742321 4338831.54257680 2268.32505495 2474.39231995 2294.60000000
1996594.87633519 1999594.87633519 4371405.12366481 2260.44515337 2462.45489222 2288.17000000
1963688.43275652 1966688.43275652 4404311.56724348 2252.40307113 2450.42716315 2281.58000000
1930468.94829837 1933468.94829837 4437531.05170163 2244.19785785 2438.35685308 2274.72000000
1896956.43313600 1899956.43313600 4471043.56686400 2235.82810817 2426.22747583 2267.49000000
1863171.07395544 1866171.07395544 4504828.92604456 2227.29188352 2413.99193090 2259.99000000
1829133.22179375 1832133.22179375 4538866.77820625 2218.58724241 2401.60048966 2252.37000000
1794863.37978031 1797863.37978031 4573136.62021969 2209.71233692 2389.00108130 2244.79000000
1760382.19078652 1763382.19078652 4607617.80921348 2200.66571355 2376.13809470 2237.22000000
1725710.42499129 1728710.42499129 4642289.57500871 2191.44668183 2362.95276842 2229.61000000
1690868.96736987 1693868.96736987 4677131.03263013 2182.05584666 2349.51084922 2221.82000000
1655878.80511354 1658878.80511354 4712121.19488646 2172.49501147 2335.91567228 2213.72000000
1620761.01498767 1623761.01498767 4747238.98501233 2162.76783143 2322.27333231 2205.40000000
1585536.75063588 1588536.75063588 4782463.24936412 2152.87979909 2308.69211037 2197.09000000
1550227.22983792 1553227.22983792 4817772.77016208 2142.83824286 2295.28973281 2188.67000000
1514853.72172879 1517853.72172879 4853146.27827121 2132.65264198 2282.12565666 2179.90000000
1479437.53398709 1482437.53398709 4888562.46601291 2122.33424082 2269.06830146 2170.82000000
1444000.00000000 1447000.00000000 4924000.00000000 2111.89580807 2255.96635380 2161.53000000
1408562.46601291 1411562.46601291 4959437.53398709 2101.35142634 2242.66801712 2152.14000000
1373146.27827121 1376146.27827121 4994853.72172879 2090.71607923 2229.02196797 2142.77000000
1337772.77016208 1340772.77016208 5030227.22983792 2080.00519820 2214.92300963 2133.39000000
1302463.24936411 1305463.24936411 5065536.75063589 2069.23412049 2200.46059026 2124.00000000
1267238.98501233 1270238.98501233 5100761.01498767 2058.41985352 2185.76806222 2114.45000000
1232121.19488646 1235121.19488646 5135878.80511354 2047.58009358 2170.97732312 2104.32000000
1197131.03263013 1200131.03263013 5170868.96736987 2036.73012063 2156.21838956 2094.02000000
1162289.57500871 1165289.57500871 5205710.42499129 2025.88245565 2141.61595728 2084.06000000
1127617.80921348 1130617.80921348 5240382.19078652 2015.04718936 2127.13632186 2074.01000000
