# Test data for ascii data reference state
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 50
# Columns: depth (m), density_ratio
depth density_scaling
72333.64144 0.21731
103648.68369 0.22273
151686.02834 0.21943
175644.85347 0.21281
216470.61170 0.20951
228559.74412 0.21533
267001.58928 0.21369
310236.19691 0.21081
353560.57533 0.21540
401627.84357 0.21459
411422.83370 0.22953
416459.97220 0.24862
440558.44078 0.25362
479030.20953 0.25447
512544.63603 0.24287
541231.38919 0.22961
594091.41991 0.22756
632518.30327 0.22468
666142.44961 0.22221
668735.82785 0.23798
671428.95141 0.26204
671758.11096 0.28943
700774.02366 0.30355
739470.21937 0.32308
830811.99338 0.32271
893292.45992 0.32109
999042.44496 0.31949
1128816.08958 0.31665
1234551.11283 0.31381
1349906.57189 0.31138
1503703.87610 0.30732
1599838.41259 0.30571
1686347.52598 0.30327
1777674.33819 0.30166
1893029.79725 0.29923
1989154.35920 0.29680
2080481.17141 0.29519
2133361.15119 0.29480
2234298.42469 0.29278
2340038.43520 0.29035
2431375.22193 0.28957
2489047.96420 0.28795
2585182.50068 0.28634
2666734.27183 0.27145
2724327.21784 0.26318
2762689.26674 0.25490
2817728.73264 0.23419
2848729.57715 0.21346
2872488.91165 0.19023
2886592.89946 0.16368
